x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
17,1078,168,8,34,0.2454096850247973,1,50,57,79,159,93,79,0
27,1034,322,14,33,0.4405374637527439,1,92,95,88,60,18,95,0
34,1020,38,4,9,0.4765001830492545,1,104,110,102,74,18,110,0
37,955,24,0,0,0.0,1,124,133,129,108,17,133,0
37,976,42,0,0,0.0,1,129,129,127,42,3,129,0
38,174,214,15,24,0.6499578401382127,1,105,118,92,63,56,118,0
38,862,9,0,0,0.0,1,125,135,129,101,18,135,0
67,131,40,5,9,0.5407052704946191,1,144,159,151,104,24,159,0
73,125,12,0,0,0.0,1,145,157,152,109,19,157,0
73,1089,12,0,0,0.0,1,135,141,134,78,12,141,0
74,1080,270,7,66,0.11283332158957557,1,133,137,123,54,26,137,0
77,133,325,8,119,0.07417390839095238,1,141,151,137,72,23,151,0
79,120,9,0,0,0.0,1,144,158,148,97,22,158,0
101,1108,119,8,21,0.3934507446737111,1,102,106,98,63,19,106,0
110,102,148,11,22,0.48467335812817197,1,104,110,102,74,18,110,0
125,299,9,0,0,0.0,0,147,161,148,88,22,161,0
151,974,1755,44,48,0.9029553702276495,0,119,121,99,46,46,121,189
152,745,1675,44,46,0.9636441491291311,0,126,133,100,51,63,133,156
154,520,1549,42,43,0.9748452268762935,0,132,138,110,51,51,138,175
154,579,1132,36,38,0.943543772952325,0,128,137,108,55,53,137,176
154,806,1217,36,40,0.9097443298572414,0,124,128,101,48,53,128,157
156,407,1081,34,39,0.8645287452420949,0,128,137,109,56,52,137,174
161,1105,231,0,0,0.0,1,111,111,100,42,25,111,0
210,1034,1094,35,37,0.9451687244585795,0,123,125,103,46,44,125,190
211,408,967,32,37,0.8634048003928205,0,130,139,112,56,49,139,173
211,746,935,32,35,0.9282716275649927,0,133,137,110,48,50,137,155
212,805,882,31,33,0.9415263304455027,0,132,137,107,49,55,137,158
212,971,1456,39,45,0.8750892986187104,0,124,126,102,46,48,126,188
213,523,896,30,36,0.8446139593654355,0,133,142,113,55,52,142,148
213,577,1021,34,36,0.9348652155242883,0,133,143,109,54,60,143,147
215,464,902,32,34,0.9469527083877202,0,133,142,112,55,53,142,149
260,106,1001,9,271,0.03503043410703716,1,130,136,148,155,31,148,0
266,1034,887,32,33,0.9679612692663018,0,121,125,102,49,46,125,191
267,463,901,32,33,0.9864573803642303,0,136,147,117,58,52,147,150
267,634,1177,37,38,0.9603244004390026,0,136,146,112,54,59,146,146
267,746,1053,35,36,0.9593432714502321,0,136,142,114,51,50,142,154
267,806,1159,37,38,0.9850093521843873,0,135,141,113,51,50,141,159
268,179,1601,43,47,0.909561382473411,0,129,138,109,55,53,138,171
268,296,1372,39,41,0.9561179801461583,0,132,141,113,56,50,141,172
268,353,1072,35,37,0.9595369902720519,0,137,146,115,54,54,146,152
268,975,849,30,33,0.899368548259583,0,127,130,106,47,47,130,187
269,237,1025,33,38,0.8702343598470476,0,133,141,115,55,47,141,170
269,408,942,33,34,0.9691714514011441,0,136,147,115,57,55,147,151
298,225,14,0,0,0.0,0,132,141,136,103,16,141,0
321,1031,811,30,32,0.9608364838345105,0,130,134,111,49,43,134,192
322,974,908,33,33,0.9823053465486842,0,129,133,110,49,44,133,186
323,746,470,20,30,0.6623194487200739,0,144,154,128,58,43,154,0
324,465,1180,36,39,0.9315558541640563,0,140,150,116,54,57,150,161
324,635,976,33,35,0.9609160981308943,0,139,149,114,54,59,149,145
324,693,1096,35,37,0.9601866838236999,0,139,149,115,55,58,149,153
324,806,1280,39,39,0.9888904465521976,0,138,144,116,51,49,144,160
325,406,829,29,34,0.844604993443279,0,139,148,119,55,49,148,162
327,295,1020,34,36,0.9451810194773185,0,136,145,118,56,47,145,164
327,351,973,33,35,0.9479553061497403,0,138,147,118,55,50,147,163
328,239,932,33,34,0.9704077155714728,0,136,145,120,57,43,145,165
329,181,1164,36,39,0.9121661541360214,0,137,146,119,56,47,146,166
372,520,1597,43,44,0.9659910132594524,0,142,152,118,54,57,152,70
