x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
17,1080,212,7,34,0.21564291307325245,1,44,47,66,164,85,66,0
23,135,37,4,9,0.481755761956031,1,73,70,124,172,111,124,0
26,1033,322,15,32,0.48120119586999827,1,89,91,88,70,8,91,0
31,780,14,0,0,0.0,1,113,116,95,48,46,116,0
36,178,267,14,29,0.5033369853793811,1,97,104,97,85,17,104,0
61,1078,12,0,0,0.0,1,134,140,133,78,12,140,0
71,1087,14,0,0,0.0,1,134,140,123,57,30,140,0
75,1080,273,5,62,0.09595076825923786,1,133,136,117,49,35,136,0
81,132,251,21,560,0.03766846058915675,1,139,149,134,70,25,149,0
102,1108,116,8,19,0.4314121909609829,1,97,97,94,42,7,97,0
111,103,193,9,26,0.37266539844731594,1,103,110,100,72,23,110,0
130,1105,42,0,0,0.0,1,105,105,94,42,26,105,0
249,383,15,0,0,0.0,0,148,161,151,94,20,161,0
265,377,9,0,0,0.0,0,150,164,151,88,21,164,0
278,310,43,4,11,0.3545214749805906,0,148,161,151,94,20,161,0
292,483,9,0,0,0.0,0,150,167,151,87,25,167,0
298,224,29,4,7,0.6278362204913867,0,139,149,150,131,18,150,0
316,108,30,0,0,0.0,1,139,145,141,99,10,145,0
380,202,9,0,0,0.0,0,158,171,161,94,19,171,0
479,877,22,3,5,0.6717973627942302,0,146,158,138,68,32,158,0
504,1171,15,0,0,0.0,1,83,87,96,156,34,96,0
514,1171,15,0,0,0.0,1,79,83,87,148,23,87,0
563,253,9,0,0,0.0,0,163,180,162,82,25,180,0
587,555,9,0,0,0.0,1,164,184,156,72,38,184,0
590,575,18,0,0,0.0,0,160,180,152,72,39,180,0
596,556,9,0,0,0.0,1,164,184,156,72,38,184,0
652,1116,25,4,9,0.4598353266428073,1,144,153,157,140,21,157,0
673,1015,9,0,0,0.0,0,146,156,147,89,16,156,0
681,1027,9,0,0,0.0,0,140,153,143,94,21,153,0
699,1137,343,5,83,0.07163892233106707,0,129,140,163,156,53,163,0
751,172,19,0,0,0.0,0,167,182,161,72,29,182,0
763,1138,24,0,0,0.0,0,136,150,179,156,61,179,0
859,1138,24,0,0,0.0,1,133,147,176,156,62,176,0
873,1138,39,4,12,0.34126070318264246,1,132,146,173,155,60,173,0
911,1138,214,4,55,0.0750925401245709,1,124,138,162,154,59,162,0
1127,1127,119,10,14,0.755819918666254,1,117,125,131,145,27,131,0
1292,1105,675,6,200,0.03229718105647805,1,117,121,124,145,14,124,0
1326,327,9,0,0,0.0,0,151,167,157,100,24,167,0
1338,640,60,8,8,0.942156494966684,0,146,162,149,92,25,162,0
1438,1037,27,5,6,0.7816970743245372,0,130,135,129,77,11,135,0
1454,281,9,0,0,0.0,0,147,160,154,107,20,160,0
1472,1105,489,5,141,0.03610542332376052,1,109,114,118,146,19,118,0
1553,1110,27,4,7,0.5509276376350554,1,96,97,101,161,12,101,0
1559,331,12,0,0,0.0,1,128,143,134,102,26,143,0
1560,374,9,0,0,0.0,1,128,142,140,121,25,142,0
1573,182,9,0,0,0.0,1,136,143,127,61,28,143,0
1573,187,16,0,0,0.0,1,137,144,128,61,28,144,0
1573,203,88,3,83,0.03651671355412193,1,137,144,128,61,28,144,0
1584,403,24,0,0,0.0,1,138,148,139,89,17,148,0
1585,318,9,0,0,0.0,1,138,147,146,122,15,147,0
1585,462,21,4,5,0.7715446419758838,1,136,147,143,112,19,147,0
1585,501,20,0,0,0.0,1,137,146,142,108,15,146,0
1585,515,24,0,0,0.0,1,138,146,143,111,13,146,0
1585,532,43,0,0,0.0,1,137,146,143,113,15,146,0
1585,552,93,8,23,0.3396568689874866,1,137,146,143,113,15,146,0
1585,581,15,0,0,0.0,1,138,145,138,85,12,145,0
1585,723,48,0,0,0.0,1,137,144,137,85,12,144,0
1586,363,12,0,0,0.0,1,136,149,150,130,23,150,0
1586,371,24,0,0,0.0,1,136,148,148,127,20,148,0
1586,395,12,0,0,0.0,1,135,147,145,120,20,147,0
1586,437,15,0,0,0.0,1,138,145,147,136,15,147,0
1586,570,15,0,0,0.0,1,137,146,142,108,15,146,0
1586,670,9,0,0,0.0,1,133,145,135,92,21,145,0
1586,715,19,0,0,0.0,1,135,145,136,89,17,145,0
1586,737,52,3,19,0.18540022705108908,1,136,143,136,85,12,143,0
1586,888,249,5,66,0.08740602428439115,1,136,138,137,106,3,138,0
1586,931,79,5,18,0.2767390978297509,1,135,140,136,93,9,140,0
1587,946,30,0,0,0.0,1,133,139,142,141,16,142,0
1589,631,187,11,22,0.49840130214337575,1,134,130,104,36,57,134,0
