x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
14,996,9,0,0,0.0,1,127,129,147,165,34,147,0
14,1019,48,4,14,0.29303376161330175,1,124,127,146,164,38,146,0
15,986,43,0,0,0.0,1,126,132,143,155,30,143,0
16,919,24,0,0,0.0,0,131,135,136,135,9,136,0
16,940,21,0,0,0.0,1,130,134,135,135,9,135,0
16,951,30,0,0,0.0,1,130,134,133,116,7,134,0
16,968,46,4,15,0.271473197199411,1,134,134,136,170,3,136,0
23,130,83,5,19,0.26771513846798145,1,61,47,96,182,130,96,0
24,1032,396,18,33,0.5543678081251747,1,91,92,84,47,22,92,0
24,1047,9,0,0,0.0,1,104,111,113,136,20,113,0
28,384,15,0,0,0.0,1,106,110,95,53,34,110,0
28,889,12,0,0,0.0,0,133,137,117,50,37,137,0
28,913,57,0,0,0.0,0,132,136,120,53,30,136,0
28,951,122,3,48,0.07035427651009435,1,130,134,118,53,30,134,0
28,981,51,0,0,0.0,1,130,134,118,53,30,134,0
28,993,12,0,0,0.0,1,129,132,115,50,32,132,0
33,175,218,11,30,0.37505971438925845,1,93,102,96,99,22,102,0
39,195,61,4,16,0.2665668751880751,1,124,134,125,89,19,134,0
66,132,47,4,10,0.44564530253095164,1,142,155,148,104,21,155,0
72,1089,9,0,0,0.0,1,133,140,129,69,20,140,0
73,125,9,0,0,0.0,1,144,155,148,100,18,155,0
75,1080,250,7,56,0.13286255301989655,1,130,132,113,46,36,132,0
77,121,9,0,0,0.0,1,144,154,153,123,16,154,0
78,133,310,8,68,0.12933052752141513,1,139,147,131,63,27,147,0
99,1110,117,6,20,0.3221204479337099,1,98,100,94,56,15,100,0
109,101,153,10,20,0.5060680633004169,1,102,110,97,68,30,110,0
151,749,919,31,36,0.8640348742552714,0,135,142,112,52,53,142,200
152,181,1252,37,41,0.905228999154526,0,133,141,117,56,43,141,191
152,633,649,25,32,0.7805013408158553,0,138,144,116,51,49,144,176
153,580,1161,37,38,0.9796254531587725,0,133,142,113,55,52,142,175
154,242,1218,35,41,0.8631683067473488,0,131,139,116,57,42,139,192
154,521,1243,36,42,0.8574318539339865,0,132,141,112,55,52,141,202
154,802,848,30,34,0.8716090853246999,0,120,122,92,45,62,122,199
155,691,1166,34,40,0.8561374095930903,0,126,133,100,51,63,133,203
193,107,431,15,137,0.1158663436111447,1,124,132,129,111,15,132,0
211,242,923,32,39,0.8170598524298376,0,140,145,122,51,40,145,204
211,744,1255,38,39,0.9695507214853448,0,135,141,113,51,50,141,171
212,179,1505,38,47,0.8164633258611093,0,135,143,119,56,42,143,190
212,807,1033,33,37,0.9063404928574377,0,135,139,112,48,49,139,128
213,579,1497,37,49,0.7419725783427585,0,137,144,110,51,60,144,174
213,633,1061,34,38,0.895925020260654,0,137,147,113,54,58,147,173
214,516,1755,43,50,0.8586818676131044,0,135,144,115,55,51,144,201
214,686,1117,36,39,0.933032034106474,0,145,152,119,51,55,152,172
262,1033,1603,42,46,0.9123585680574056,0,123,125,101,46,48,125,195
263,859,1412,38,44,0.8681170623284288,0,134,138,111,48,49,138,198
264,802,632,24,32,0.748508091037681,0,139,146,116,52,52,146,127
264,918,1147,35,39,0.9050362056783087,0,132,136,111,49,46,136,197
264,971,992,31,39,0.7849889393014007,0,129,134,106,50,53,134,196
267,236,1087,36,37,0.9523039394238646,0,140,148,124,56,41,148,187
267,354,1070,34,38,0.9065657190997503,0,138,147,119,56,48,147,186
267,738,758,27,33,0.8180820248162372,0,140,147,113,51,58,147,170
268,180,1286,34,46,0.7389516639786636,0,140,146,118,51,48,146,188
270,298,1054,31,43,0.7085544265434857,0,141,151,123,57,47,151,96
298,225,9,0,0,0.0,0,129,140,126,75,25,140,0
320,802,861,30,34,0.870612614550312,0,140,148,114,52,58,148,126
322,745,1542,42,44,0.9374822932260439,0,140,147,114,51,57,147,169
322,916,1199,36,39,0.9298591875365336,0,134,138,111,48,49,138,144
323,178,1451,37,46,0.8041373016398938,0,138,146,122,56,41,146,189
323,858,1216,37,39,0.9554962610541134,0,135,141,113,51,50,141,125
324,975,1103,35,37,0.9443389741414457,0,131,136,106,49,56,136,167
324,1034,1308,35,44,0.7959160152496626,0,127,129,105,46,47,129,168
325,240,929,32,35,0.9077408700252192,0,141,149,125,56,41,149,94
325,297,1313,37,44,0.8375283543821163,0,143,152,125,56,45,152,95
327,355,1287,34,46,0.7552820284082772,0,143,154,122,57,52,154,185
376,631,1517,39,47,0.8218480917518359,0,145,157,119,55,61,157,40
