,transfer_n,replicate,strategy,phenotype,fraction,contaminated,exclude,infected_by_strains,infected_by_wells,infection_to_well,infection_to_well_id,pheno_num,pheno_str,plate,received_transfer_strain,rep,count,rwell,tip,transfer_from_well_id,transfer_to_well,transfer_to_well_id,treatment_with,turnover_id,turnover_strain,turnover_strain_real,well
782,10,0.0,Mono B,WT,6.25,6,6,0,0,0,2,6,6,6,0,6,6,6,6,0,0,2,6,6,6,6,6
783,10,0.0,No treatment,A&B,1.0416666666666665,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
784,10,0.0,No treatment,AB_r,6.25,6,6,3,3,2,2,6,6,6,6,6,6,6,6,6,6,4,6,0,0,0,6
785,10,0.0,No treatment,A_r,28.125,27,27,14,14,7,8,27,27,27,25,27,27,27,27,25,25,24,27,2,2,2,27
786,10,0.0,No treatment,B_r,14.583333333333334,14,14,3,3,4,1,14,14,14,14,14,14,14,14,14,14,10,14,0,0,0,14
787,10,0.0,No treatment,UI,7.291666666666667,7,7,0,0,2,1,7,7,7,3,7,7,7,7,3,3,5,7,4,4,4,7
788,10,0.0,No treatment,WT,40.625,39,39,3,3,13,11,39,39,39,29,39,39,39,39,29,29,27,39,10,10,10,39
789,10,1.0,Combo,UI,93.75,90,90,23,23,29,22,90,90,90,78,90,90,90,90,78,78,69,90,12,12,12,90
790,10,1.0,Combo,WT,6.25,6,6,1,1,1,1,6,6,6,0,6,6,6,6,0,0,1,6,6,6,6,6
791,10,1.0,Cycling,A_r,1.0416666666666665,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1
792,10,1.0,Cycling,UI,97.91666666666666,94,94,23,23,29,23,94,94,94,78,94,94,94,94,78,78,70,94,16,16,16,94
793,10,1.0,Cycling,WT,1.0416666666666665,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1
