;index;groupI;groupII;meandiff;pAdj;lower;upper;reject;pValue
0;0;Combination;Cycling;0.0578;0.0022;0.0186;0.0971;True;0.0022
1;1;Combination;Mixing;0.0711;0.0002;0.0319;0.1104;True;0.0002
2;2;Combination;Mono A;0.0086;0.9795;-0.0306;0.0479;False;0.9795
3;3;Combination;Mono B;0.0691;0.0003;0.0299;0.1084;True;0.0003
4;4;Combination;No treatment;0.2061;0.0;0.1669;0.2453;True;0.0
5;5;Cycling;Mixing;0.0133;0.884;-0.0259;0.0525;False;0.884
6;6;Cycling;Mono A;-0.0492;0.0095;-0.0884;-0.01;True;0.0095
7;7;Cycling;Mono B;0.0113;0.9373;-0.0279;0.0505;False;0.9373
8;8;Cycling;No treatment;0.1483;0.0;0.109;0.1875;True;0.0
9;9;Mixing;Mono A;-0.0625;0.001;-0.1017;-0.0233;True;0.001
10;10;Mixing;Mono B;-0.002;1.0;-0.0412;0.0372;False;1.0
11;11;Mixing;No treatment;0.135;0.0;0.0958;0.1742;True;0.0
12;12;Mono A;Mono B;0.0605;0.0014;0.0213;0.0997;True;0.0014
13;13;Mono A;No treatment;0.1975;0.0;0.1583;0.2367;True;0.0
14;14;Mono B;No treatment;0.137;0.0;0.0977;0.1762;True;0.0
