;index;groupI;groupII;meandiff;pAdj;lower;upper;reject;pValue
0;0;Combination;Cycling;0.3424;0.0;0.2922;0.3927;True;0.0
1;1;Combination;Mixing;0.4082;0.0;0.358;0.4585;True;0.0
2;2;Combination;Mono A;0.5492;0.0;0.4989;0.5995;True;0.0
3;3;Combination;Mono B;0.5359;0.0;0.4856;0.5862;True;0.0
4;4;Combination;No treatment;0.7606;0.0;0.7104;0.8109;True;0.0
5;5;Cycling;Mixing;0.0658;0.0065;0.0156;0.1161;True;0.0065
6;6;Cycling;Mono A;0.2068;0.0;0.1565;0.257;True;0.0
7;7;Cycling;Mono B;0.1935;0.0;0.1432;0.2437;True;0.0
8;8;Cycling;No treatment;0.4182;0.0;0.368;0.4685;True;0.0
9;9;Mixing;Mono A;0.141;0.0;0.0907;0.1912;True;0.0
10;10;Mixing;Mono B;0.1277;0.0;0.0774;0.1779;True;0.0
11;11;Mixing;No treatment;0.3524;0.0;0.3021;0.4026;True;0.0
12;12;Mono A;Mono B;-0.0133;0.9556;-0.0636;0.037;False;0.9556
13;13;Mono A;No treatment;0.2114;0.0;0.1612;0.2617;True;0.0
14;14;Mono B;No treatment;0.2247;0.0;0.1745;0.275;True;0.0
