turnover_strain,A&B,AB_r,A_r,B_r,Fishy,S,UI,num_of_cases
A_r,0.003,0.012,0.313,0.003,0.137,0.078,0.454,335
B_r,0.003,0.0,0.0,0.994,0.0,0.003,0.0,308
