;index;U;S;Ar;Br;AuB;ABr
0;U;1.0;0.0;0.0;0.0;0.0;0.0
1;S;0.0;1.0;0.0;0.0;0.0;0.0
2;A\_r;0.0;0.0;1.0;0.0;0.0;0.0
3;B\_r;0.0;0.0;0.0;1.0;0.17;0.0
4;(A\_r\&B\_r);0.0;0.0;0.0;0.0;0.02;0.0
5;AB\_r;0.0;0.0;0.0;0.0;0.81;1.0
