;index;U;S;Ar;Br;AuB;ABr
0;U;1.0;0.48;0.51;0.02;0.01;0.0
1;S;0.0;0.52;0.21;0.01;0.0;0.0
2;A\_r;0.0;0.0;0.28;0.0;0.0;0.0
3;B\_r;0.0;0.0;0.0;0.97;0.31;0.0
4;(A\_r\&B\_r);0.0;0.0;0.0;0.0;0.1;0.0
5;AB\_r;0.0;0.0;0.0;0.0;0.58;1.0
