;index;groupI;groupII;meandiff;pAdj;lower;upper;reject;pValue
0;0;Combo;Cycling;-0.3001;0.0;-0.3603;-0.24;True;0.0
1;1;Combo;Mixing;-0.3776;0.0;-0.4378;-0.3174;True;0.0
2;2;Combo;Mono A;-0.4056;0.0;-0.4658;-0.3454;True;0.0
3;3;Combo;Mono B;-0.4889;0.0;-0.5491;-0.4288;True;0.0
4;4;Combo;No treatment;-0.806;0.0;-0.8661;-0.7458;True;0.0
5;5;Cycling;Mixing;-0.0775;0.0076;-0.1376;-0.0173;True;0.0076
6;6;Cycling;Mono A;-0.1055;0.0003;-0.1656;-0.0453;True;0.0003
7;7;Cycling;Mono B;-0.1888;0.0;-0.249;-0.1286;True;0.0
8;8;Cycling;No treatment;-0.5059;0.0;-0.566;-0.4457;True;0.0
9;9;Mixing;Mono A;-0.028;0.6811;-0.0882;0.0322;False;0.6811
10;10;Mixing;Mono B;-0.1113;0.0002;-0.1715;-0.0512;True;0.0002
11;11;Mixing;No treatment;-0.4284;0.0;-0.4885;-0.3682;True;0.0
12;12;Mono A;Mono B;-0.0833;0.0039;-0.1435;-0.0232;True;0.0039
13;13;Mono A;No treatment;-0.4004;0.0;-0.4606;-0.3402;True;0.0
14;14;Mono B;No treatment;-0.3171;0.0;-0.3772;-0.2569;True;0.0
