;index;U;S;Ar;Br;AuB;ABr
0;U;0.99;0.8;0.63;0.01;0.03;0.02
1;S;0.0;0.19;0.18;0.0;0.0;0.0
2;A\_r;0.0;0.0;0.18;0.0;0.0;0.0
3;B\_r;0.01;0.01;0.0;0.98;0.21;0.0
4;(A\_r\&B\_r);0.0;0.0;0.0;0.0;0.03;0.0
5;AB\_r;0.0;0.0;0.01;0.01;0.73;0.98
