;index;U;S;Ar;Br;AuB;ABr
0;U;0.97;0.0;0.0;0.0;0.0;0.0
1;S;0.03;0.98;0.01;0.02;0.01;0.01
2;A\_r;0.0;0.01;0.96;0.0;0.07;0.03
3;B\_r;0.0;0.01;0.0;0.97;0.02;0.0
4;(A\_r\&B\_r);0.0;0.0;0.01;0.01;0.08;0.04
5;AB\_r;0.0;0.0;0.02;0.0;0.82;0.92
