;index;U;S;Ar;Br;AuB;ABr
0;U;1.0;0.98;0.0;0.99;0.23;0.0
1;S;0.0;0.02;0.0;0.01;0.0;0.0
2;A\_r;0.0;0.0;1.0;0.0;0.54;0.0
3;B\_r;0.0;0.0;0.0;0.0;0.0;0.0
4;(A\_r\&B\_r);0.0;0.0;0.0;0.0;0.11;0.0
5;AB\_r;0.0;0.0;0.0;0.0;0.12;1.0
