;index;U;S;Ar;Br;AuB;ABr
0;U;1.0;0.79;0.32;0.67;0.24;0.0
1;S;0.0;0.21;0.21;0.24;0.21;0.0
2;A\_r;0.0;0.0;0.47;0.0;0.41;0.0
3;B\_r;0.0;0.0;0.0;0.09;0.02;0.0
4;(A\_r\&B\_r);0.0;0.0;0.0;0.0;0.07;0.0
5;AB\_r;0.0;0.0;0.0;0.0;0.05;1.0
