ID,plate,well,row,col,tip,rep,rwell,transfer_n,turnover_strain,treatment_with,turnover_id,infection_to_well,infection_to_well_id,transfer_from_well_id,transfer_to_well_id,exclude,pheno_str,pheno_num,phenotype,strategy
t0_P1_A22,1,22,A,22,1,2,11,0,A_r,none,t0_S_G10,,,,t1_P1_A22,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_B21,1,45,B,21,1,1,11,0,A_r,none,t0_S_H9,,,,t1_P1_B21,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_B22,1,46,B,22,1,3,11,0,A_r,none,t0_S_H10,,,,t1_P1_B22,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_A23,1,23,A,23,1,0,12,0,B_r,none,t0_S_G13,,,,t1_P1_A23,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_A24,1,24,A,24,1,2,12,0,B_r,none,t0_S_G14,,,,t1_P1_A24,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_B23,1,47,B,23,1,1,12,0,B_r,none,t0_S_H13,,,,t1_P1_B23,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_B24,1,48,B,24,1,3,12,0,B_r,none,t0_S_H14,,,,t1_P1_B24,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C1,1,49,C,1,2,0,13,0,A_r,none,t0_S_G9,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_C2,1,50,C,2,2,2,13,0,A_r,none,t0_S_G10,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_D1,1,73,D,1,2,1,13,0,A_r,none,t0_S_H9,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_D2,1,74,D,2,2,3,13,0,A_r,none,t0_S_H10,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_C3,1,51,C,3,2,0,14,0,B_r,none,t0_S_G13,30.0,t1_P1_E11,,t1_P1_C3,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C4,1,52,C,4,2,2,14,0,B_r,none,t0_S_G14,30.0,t1_P1_E12,,t1_P1_C4,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D3,1,75,D,3,2,1,14,0,B_r,none,t0_S_H13,30.0,t1_P1_F11,,t1_P1_D3,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D4,1,76,D,4,2,3,14,0,B_r,none,t0_S_H14,30.0,t1_P1_F12,,t1_P1_D4,,['0' '0' '1' '1'],3,B_r,No treatment
