well,row,col,tip,rep,rwell
266,L,2,6,3,61
267,L,3,6,4,62
268,L,4,6,3,62
269,L,5,6,4,63
270,L,6,6,3,63
271,L,7,6,4,64
272,L,8,6,3,64
273,L,9,6,4,65
274,L,10,6,3,65
275,L,11,6,4,66
276,L,12,6,3,66
277,L,13,6,4,67
278,L,14,6,3,67
279,L,15,6,4,68
280,L,16,6,3,68
281,L,17,6,4,69
282,L,18,6,3,69
283,L,19,6,4,70
284,L,20,6,3,70
285,L,21,6,4,71
286,L,22,6,3,71
287,L,23,6,4,72
288,L,24,6,3,72
289,M,1,7,1,73
290,M,2,7,2,73
291,M,3,7,1,74
292,M,4,7,2,74
293,M,5,7,1,75
294,M,6,7,2,75
295,M,7,7,1,76
296,M,8,7,2,76
297,M,9,7,1,77
298,M,10,7,2,77
299,M,11,7,1,78
300,M,12,7,2,78
301,M,13,7,1,79
302,M,14,7,2,79
303,M,15,7,1,80
304,M,16,7,2,80
305,M,17,7,1,81
306,M,18,7,2,81
307,M,19,7,1,82
308,M,20,7,2,82
309,M,21,7,1,83
310,M,22,7,2,83
311,M,23,7,1,84
312,M,24,7,2,84
313,N,1,7,4,73
314,N,2,7,3,73
315,N,3,7,4,74
316,N,4,7,3,74
317,N,5,7,4,75
318,N,6,7,3,75
319,N,7,7,4,76
320,N,8,7,3,76
321,N,9,7,4,77
322,N,10,7,3,77
323,N,11,7,4,78
324,N,12,7,3,78
325,N,13,7,4,79
326,N,14,7,3,79
327,N,15,7,4,80
328,N,16,7,3,80
329,N,17,7,4,81
330,N,18,7,3,81
331,N,19,7,4,82
332,N,20,7,3,82
333,N,21,7,4,83
334,N,22,7,3,83
335,N,23,7,4,84
336,N,24,7,3,84
337,O,1,8,1,85
338,O,2,8,2,85
339,O,3,8,1,86
340,O,4,8,2,86
341,O,5,8,1,87
342,O,6,8,2,87
343,O,7,8,1,88
344,O,8,8,2,88
345,O,9,8,1,89
346,O,10,8,2,89
347,O,11,8,1,90
348,O,12,8,2,90
349,O,13,8,1,91
350,O,14,8,2,91
351,O,15,8,1,92
352,O,16,8,2,92
353,O,17,8,1,93
354,O,18,8,2,93
355,O,19,8,1,94
356,O,20,8,2,94
357,O,21,8,1,95
358,O,22,8,2,95
359,O,23,8,1,96
360,O,24,8,2,96
361,P,1,8,4,85
362,P,2,8,3,85
363,P,3,8,4,86
364,P,4,8,3,86
365,P,5,8,4,87
366,P,6,8,3,87
367,P,7,8,4,88
368,P,8,8,3,88
369,P,9,8,4,89
370,P,10,8,3,89
371,P,11,8,4,90
372,P,12,8,3,90
373,P,13,8,4,91
374,P,14,8,3,91
375,P,15,8,4,92
376,P,16,8,3,92
377,P,17,8,4,93
378,P,18,8,3,93
379,P,19,8,4,94
380,P,20,8,3,94
381,P,21,8,4,95
382,P,22,8,3,95
383,P,23,8,4,96
384,P,24,8,3,96
