,transfer_n,replicate,strategy,phenotype,fraction,contaminated,exclude,infected_by_strains,infected_by_wells,infection_to_well,infection_to_well_id,pheno_num,pheno_str,plate,received_transfer_strain,rep,count,rwell,tip,transfer_from_well_id,transfer_to_well,transfer_to_well_id,treatment_with,turnover_id,turnover_strain,turnover_strain_real,well
273,3,1.0,Mono B,?,100.0,96,96,29,29,33,37,96,96,96,81,96,96,96,96,81,81,70,96,15,15,15,96
274,3,1.0,No treatment,AB_r,12.5,12,12,7,7,2,6,12,12,12,11,12,12,12,12,11,11,7,12,1,1,1,12
275,3,1.0,No treatment,A_r,13.541666666666666,13,13,4,4,2,7,13,13,13,11,13,13,13,13,11,11,10,13,2,2,2,13
276,3,1.0,No treatment,B_r,20.833333333333336,20,20,7,7,7,10,20,20,20,19,20,20,20,20,19,19,15,20,1,1,1,20
277,3,1.0,No treatment,UI,8.333333333333332,8,8,1,1,5,2,8,8,8,5,8,8,8,8,5,5,4,8,3,3,3,8
278,3,1.0,No treatment,WT,44.79166666666667,43,43,10,10,17,12,43,43,43,35,43,43,43,43,35,35,34,43,8,8,8,43
279,3,2.0,Combo,?,100.0,96,96,29,29,33,37,96,96,96,81,96,96,96,96,81,81,70,96,15,15,15,96
280,3,2.0,Cycling,?,100.0,96,96,29,29,33,37,96,96,96,81,96,96,96,96,81,81,70,96,15,15,15,96
281,3,2.0,Mixing,?,100.0,96,96,29,29,33,37,96,96,96,81,96,96,96,96,81,81,70,96,15,15,15,96
282,3,2.0,Mono A,AB_r,8.333333333333332,8,8,4,4,2,3,8,8,8,8,8,8,8,8,8,8,4,8,0,0,0,8
283,3,2.0,Mono A,A_r,16.666666666666664,16,16,7,7,2,9,16,16,16,14,16,16,16,16,14,14,12,16,2,2,2,16
284,3,2.0,Mono A,UI,75.0,72,72,18,18,29,25,72,72,72,59,72,72,72,72,59,59,54,72,13,13,13,72
285,3,2.0,Mono B,?,100.0,96,96,29,29,33,37,96,96,96,81,96,96,96,96,81,81,70,96,15,15,15,96
286,3,2.0,No treatment,AB_r,12.5,12,12,7,7,2,6,12,12,12,11,12,12,12,12,11,11,7,12,1,1,1,12
287,3,2.0,No treatment,A_r,12.5,12,12,4,4,2,6,12,12,12,11,12,12,12,12,11,11,9,12,1,1,1,12
288,3,2.0,No treatment,B_r,22.916666666666664,22,22,9,9,7,12,22,22,22,21,22,22,22,22,21,21,15,22,1,1,1,22
289,3,2.0,No treatment,UI,9.375,9,9,2,2,5,2,9,9,9,6,9,9,9,9,6,6,5,9,3,3,3,9
290,3,2.0,No treatment,WT,42.70833333333333,41,41,7,7,17,11,41,41,41,32,41,41,41,41,32,32,34,41,9,9,9,41
291,3,3.0,Combo,?,100.0,96,96,29,29,33,37,96,96,96,81,96,96,96,96,81,81,70,96,15,15,15,96
292,3,3.0,Cycling,?,100.0,96,96,29,29,33,37,96,96,96,81,96,96,96,96,81,81,70,96,15,15,15,96
293,3,3.0,Mixing,?,100.0,96,96,29,29,33,37,96,96,96,81,96,96,96,96,81,81,70,96,15,15,15,96
294,3,3.0,Mono A,AB_r,8.333333333333332,8,8,4,4,2,3,8,8,8,8,8,8,8,8,8,8,4,8,0,0,0,8
295,3,3.0,Mono A,A_r,16.666666666666664,16,16,7,7,2,9,16,16,16,14,16,16,16,16,14,14,12,16,2,2,2,16
296,3,3.0,Mono A,UI,75.0,72,72,18,18,29,25,72,72,72,59,72,72,72,72,59,59,54,72,13,13,13,72
297,3,3.0,Mono B,?,100.0,96,96,29,29,33,37,96,96,96,81,96,96,96,96,81,81,70,96,15,15,15,96
298,3,3.0,No treatment,AB_r,11.458333333333332,11,11,7,7,2,5,11,11,11,10,11,11,11,11,10,10,7,11,1,1,1,11
299,3,3.0,No treatment,A_r,13.541666666666666,13,13,4,4,2,7,13,13,13,12,13,13,13,13,12,12,9,13,1,1,1,13
300,3,3.0,No treatment,B_r,20.833333333333336,20,20,8,8,7,12,20,20,20,19,20,20,20,20,19,19,13,20,1,1,1,20
301,3,3.0,No treatment,Fishy,1.0416666666666665,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
302,3,3.0,No treatment,UI,10.416666666666668,10,10,2,2,6,3,10,10,10,6,10,10,10,10,6,6,6,10,4,4,4,10
303,3,3.0,No treatment,WT,42.70833333333333,41,41,7,7,16,10,41,41,41,33,41,41,41,41,33,33,34,41,8,8,8,41
304,4,0.0,Combo,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
305,4,0.0,Cycling,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
306,4,0.0,Mixing,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
307,4,0.0,Mono A,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
308,4,0.0,Mono B,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
309,4,0.0,No treatment,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
310,4,1.0,Combo,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
311,4,1.0,Cycling,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
312,4,1.0,Mixing,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
313,4,1.0,Mono A,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
314,4,1.0,Mono B,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
315,4,1.0,No treatment,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
316,4,2.0,Combo,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
317,4,2.0,Cycling,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
318,4,2.0,Mixing,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
319,4,2.0,Mono A,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
320,4,2.0,Mono B,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
321,4,2.0,No treatment,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
322,4,3.0,Combo,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
323,4,3.0,Cycling,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
324,4,3.0,Mixing,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
325,4,3.0,Mono A,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
326,4,3.0,Mono B,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
327,4,3.0,No treatment,?,100.0,96,96,25,25,37,32,96,96,96,70,96,96,96,96,70,70,76,96,26,26,26,96
328,5,0.0,Combo,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
329,5,0.0,Cycling,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
330,5,0.0,Mixing,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
331,5,0.0,Mono A,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
332,5,0.0,Mono B,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
333,5,0.0,No treatment,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
334,5,1.0,Combo,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
335,5,1.0,Cycling,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
336,5,1.0,Mixing,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
337,5,1.0,Mono A,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
338,5,1.0,Mono B,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
339,5,1.0,No treatment,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
340,5,2.0,Combo,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
341,5,2.0,Cycling,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
342,5,2.0,Mixing,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
343,5,2.0,Mono A,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
344,5,2.0,Mono B,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
345,5,2.0,No treatment,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
346,5,3.0,Combo,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
347,5,3.0,Cycling,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
348,5,3.0,Mixing,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
349,5,3.0,Mono A,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
350,5,3.0,Mono B,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
351,5,3.0,No treatment,?,100.0,96,96,25,25,32,35,96,96,96,76,96,96,96,96,76,76,76,96,20,20,20,96
352,6,0.0,Combo,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
353,6,0.0,Cycling,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
354,6,0.0,Mixing,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
355,6,0.0,Mono A,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
356,6,0.0,Mono B,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
357,6,0.0,No treatment,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
358,6,1.0,Combo,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
359,6,1.0,Cycling,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
360,6,1.0,Mixing,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
361,6,1.0,Mono A,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
362,6,1.0,Mono B,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
363,6,1.0,No treatment,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
364,6,2.0,Combo,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
365,6,2.0,Cycling,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
366,6,2.0,Mixing,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
367,6,2.0,Mono A,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
368,6,2.0,Mono B,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
369,6,2.0,No treatment,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
370,6,3.0,Combo,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
371,6,3.0,Cycling,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
372,6,3.0,Mixing,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
373,6,3.0,Mono A,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
374,6,3.0,Mono B,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
375,6,3.0,No treatment,?,100.0,96,96,25,25,35,0,96,96,96,76,96,96,96,96,76,76,0,96,20,20,20,96
