transfer,run,desc,plate_n,barcode,ab
0,1,assay,1,2022012701,N
0,1,agar,1,2022012707,N
0,1,agar,1,2022012713,A
0,1,agar,1,2022012719,B
0,1,agar,1,2022012725,AB
1,1,on,1,2022012731,N
0,1,test,1,2022012732,N
0,1,test,1,2022012733,A
0,1,test,1,2022012734,B
0,1,test,1,2022012735,AB
1,1,assay,1,2022012801,N
1,1,assay,2,2022012802,N
1,1,assay,3,2022012803,N
1,1,assay,4,2022012804,N
1,1,assay,5,2022012805,N
1,1,assay,6,2022012806,N
1,1,agar,1,2022012807,N
1,1,agar,2,2022012808,N
1,1,agar,3,2022012809,N
1,1,agar,4,2022012810,N
1,1,agar,5,2022012811,N
1,1,agar,6,2022012812,N
1,1,agar,1,2022012813,A
1,1,agar,2,2022012814,A
1,1,agar,3,2022012815,A
1,1,agar,4,2022012816,A
1,1,agar,5,2022012817,A
1,1,agar,6,2022012818,A
1,1,agar,1,2022012819,B
1,1,agar,2,2022012820,B
1,1,agar,3,2022012821,B
1,1,agar,4,2022012822,B
1,1,agar,5,2022012823,B
1,1,agar,6,2022012824,B
1,1,agar,1,2022012825,AB
1,1,agar,2,2022012826,AB
1,1,agar,3,2022012827,AB
1,1,agar,4,2022012828,AB
1,1,agar,5,2022012829,AB
1,1,agar,6,2022012830,AB
2,1,on,1,2022012831,N
1,1,test,1,2022012832,N
1,1,test,1,2022012833,A
1,1,test,1,2022012834,B
1,1,test,1,2022012835,AB
2,1,assay,1,2022012901,N
2,1,assay,2,2022012902,N
2,1,assay,3,2022012903,N
2,1,assay,4,2022012904,N
2,1,assay,5,2022012905,N
2,1,assay,6,2022012906,N
2,1,agar,1,2022012907,N
2,1,agar,2,2022012908,N
2,1,agar,3,2022012909,N
2,1,agar,4,2022012910,N
2,1,agar,5,2022012911,N
2,1,agar,6,2022012912,N
2,1,agar,1,2022012913,A
2,1,agar,2,2022012914,A
2,1,agar,3,2022012915,A
2,1,agar,4,2022012916,A
2,1,agar,5,2022012917,A
2,1,agar,6,2022012918,A
2,1,agar,1,2022012919,B
2,1,agar,2,2022012920,B
2,1,agar,3,2022012921,B
2,1,agar,4,2022012922,B
2,1,agar,5,2022012923,B
2,1,agar,6,2022012924,B
2,1,agar,1,2022012925,AB
2,1,agar,2,2022012926,AB
2,1,agar,3,2022012927,AB
2,1,agar,4,2022012928,AB
2,1,agar,5,2022012929,AB
2,1,agar,6,2022012930,AB
3,1,on,1,2022012931,N
2,1,test,1,2022012932,N
2,1,test,1,2022012933,A
2,1,test,1,2022012934,B
2,1,test,1,2022012935,AB
3,1,assay,1,2022013001,N
3,1,assay,2,2022013002,N
3,1,assay,3,2022013003,N
3,1,assay,4,2022013004,N
3,1,assay,5,2022013005,N
3,1,assay,6,2022013006,N
3,1,agar,1,2022013007,N
3,1,agar,2,2022013008,N
3,1,agar,3,2022013009,N
3,1,agar,4,2022013010,N
3,1,agar,5,2022013011,N
3,1,agar,6,2022013012,N
3,1,agar,1,2022013013,A
3,1,agar,2,2022013014,A
3,1,agar,3,2022013015,A
3,1,agar,4,2022013016,A
3,1,agar,5,2022013017,A
3,1,agar,6,2022013018,A
3,1,agar,1,2022013019,B
3,1,agar,2,2022013020,B
3,1,agar,3,2022013021,B
3,1,agar,4,2022013022,B
3,1,agar,5,2022013023,B
3,1,agar,6,2022013024,B
3,1,agar,1,2022013025,AB
3,1,agar,2,2022013026,AB
3,1,agar,3,2022013027,AB
3,1,agar,4,2022013028,AB
3,1,agar,5,2022013029,AB
3,1,agar,6,2022013030,AB
4,1,on,1,2022013031,N
3,1,test,1,2022013032,N
3,1,test,1,2022013033,A
3,1,test,1,2022013034,B
3,1,test,1,2022013035,AB
4,1,assay,1,2022013101,N
4,1,assay,2,2022013102,N
4,1,assay,3,2022013103,N
4,1,assay,4,2022013104,N
4,1,assay,5,2022013105,N
4,1,assay,6,2022013106,N
4,1,agar,1,2022013107,N
