transfer,run,desc,plate_n,barcode,ab
27,2,assay,1,2022030201,N
27,2,assay,2,2022030202,N
27,2,assay,3,2022030203,N
27,2,assay,4,2022030204,N
27,2,assay,5,2022030205,N
27,2,assay,6,2022030206,N
27,2,agar,1,2022030207,N
27,2,agar,2,2022030208,N
27,2,agar,3,2022030209,N
27,2,agar,4,2022030210,N
27,2,agar,5,2022030211,N
27,2,agar,6,2022030212,N
27,2,agar,1,2022030213,A
27,2,agar,2,2022030214,A
27,2,agar,3,2022030215,A
27,2,agar,4,2022030216,A
27,2,agar,5,2022030217,A
27,2,agar,6,2022030218,A
27,2,agar,1,2022030219,B
27,2,agar,2,2022030220,B
27,2,agar,3,2022030221,B
27,2,agar,4,2022030222,B
27,2,agar,5,2022030223,B
27,2,agar,6,2022030224,B
27,2,agar,1,2022030225,AB
27,2,agar,2,2022030226,AB
27,2,agar,3,2022030227,AB
27,2,agar,4,2022030228,AB
27,2,agar,5,2022030229,AB
27,2,agar,6,2022030230,AB
28,2,on,1,2022030231,N
27,2,test,1,2022030232,N
27,2,test,1,2022030233,A
27,2,test,1,2022030234,B
27,2,test,1,2022030235,AB
