ID,plate,well,row,col,tip,rep,rwell,transfer_n,turnover_strain,treatment_with,turnover_id,infection_to_well,infection_to_well_id,transfer_from_well_id,transfer_to_well_id,exclude,pheno_str,pheno_num,phenotype,strategy
t0_P1_A1,1,1,A,1,1,0,1,0,A_r,none,t0_S_A3,,,,t1_P1_A1,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_A2,1,2,A,2,1,2,1,0,A_r,none,t0_S_A4,,,,t1_P1_A2,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_B1,1,25,B,1,1,1,1,0,A_r,none,t0_S_B3,,,,t1_P1_B1,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_B2,1,26,B,2,1,3,1,0,A_r,none,t0_S_B4,,,,t1_P1_B2,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_A3,1,3,A,3,1,0,2,0,wt,none,t0_S_A7,,,,t1_P1_A3,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A4,1,4,A,4,1,2,2,0,wt,none,t0_S_A8,,,,t1_P1_A4,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B3,1,27,B,3,1,1,2,0,wt,none,t0_S_B7,,,,t1_P1_B3,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B4,1,28,B,4,1,3,2,0,wt,none,t0_S_B8,,,,t1_P1_B4,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A5,1,5,A,5,1,0,3,0,UI,none,t0_S_A9,,,,t1_P1_A5,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_A6,1,6,A,6,1,2,3,0,UI,none,t0_S_A10,,,,t1_P1_A6,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_B5,1,29,B,5,1,1,3,0,UI,none,t0_S_B9,,,,t1_P1_B5,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_B6,1,30,B,6,1,3,3,0,UI,none,t0_S_B10,,,,t1_P1_B6,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_A7,1,7,A,7,1,0,4,0,wt,none,t0_S_A7,,,,t1_P1_A7,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A8,1,8,A,8,1,2,4,0,wt,none,t0_S_A8,,,,t1_P1_A8,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B7,1,31,B,7,1,1,4,0,wt,none,t0_S_B7,,,,t1_P1_B7,,['0' '0' '0' '1'],1,WT,No treatment
