x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
14,1005,36,3,13,0.2183124102312063,1,125,130,139,154,25,139,0
15,939,12,0,0,0.0,0,125,132,137,145,22,137,0
15,969,12,0,0,0.0,0,126,132,139,150,23,139,0
15,987,32,0,0,0.0,0,126,129,136,157,18,136,0
15,1021,38,5,7,0.7450880744743348,1,105,106,116,166,24,116,0
16,906,18,0,0,0.0,0,126,132,132,127,11,132,0
16,921,9,0,0,0.0,0,128,131,131,127,5,131,0
23,130,59,0,0,0.0,1,70,57,110,180,122,110,0
23,1031,408,17,30,0.5691125782236889,1,86,88,77,50,31,88,0
28,868,9,0,0,0.0,1,127,129,106,46,45,129,0
28,935,571,5,123,0.04614974856596635,1,128,131,109,48,42,131,0
28,1006,69,4,20,0.22663725701674864,1,128,128,107,42,41,128,0
34,175,245,12,28,0.4377797763572577,1,94,99,81,54,46,99,0
40,189,15,0,0,0.0,1,125,131,116,59,29,131,0
60,1075,9,0,0,0.0,1,129,135,122,62,24,135,0
68,130,76,10,14,0.7379823820381323,1,139,153,140,88,23,153,0
68,1083,9,0,0,0.0,1,130,136,124,63,22,136,0
76,1082,381,17,47,0.3661341129282648,1,127,130,112,49,35,130,0
81,131,354,8,98,0.08938466013451411,1,138,142,122,51,35,142,0
99,1108,147,7,23,0.32040206218256057,1,95,94,88,36,18,95,0
109,1001,9,0,0,0.0,0,129,132,113,49,36,132,0
110,101,170,9,22,0.43665508344284026,1,102,108,96,63,28,108,0
128,106,9,0,0,0.0,0,122,135,115,70,37,135,0
150,632,2254,51,53,0.9588840014171816,0,133,139,105,49,62,139,95
151,862,2301,49,57,0.8693130997604709,0,126,130,97,47,64,130,128
158,699,1463,41,42,0.9803136339552806,0,133,139,105,49,62,139,96
209,695,1425,38,45,0.8572597938308071,0,135,141,107,50,61,141,122
212,861,1452,38,46,0.8317145929288476,0,132,135,104,46,58,135,123
213,631,1169,35,39,0.9072033338954063,0,136,143,109,51,60,143,94
213,922,1407,40,44,0.9051899515995653,0,127,130,99,46,60,130,127
264,466,1673,42,48,0.8841626057313596,0,140,149,120,55,49,149,119
264,524,1698,42,48,0.8802346812864127,0,139,149,114,54,59,149,91
265,696,1570,38,49,0.7853734477618524,0,139,146,112,51,59,146,120
266,578,1102,36,37,0.9864500372644663,0,139,149,114,54,59,149,92
267,410,1151,33,41,0.8219041346930576,0,137,146,119,56,47,146,116
267,859,1752,41,52,0.7919041749410047,0,134,139,107,49,58,139,124
268,297,1415,39,44,0.8960521670069438,0,136,145,115,55,52,145,118
269,243,1412,39,44,0.8756291507004595,1,136,144,120,56,42,144,0
269,355,1333,38,42,0.8942571426891376,0,138,147,116,54,53,147,117
269,631,1162,37,38,0.95402940607137,0,140,150,115,54,59,150,93
272,194,1401,41,41,0.9866522013617001,1,140,148,125,57,39,148,0
318,799,20,0,0,0.0,0,123,133,109,60,46,133,0
322,923,2161,49,53,0.9312977539190561,0,131,136,104,49,60,136,126
323,633,1188,36,39,0.9459782784585095,0,141,151,114,53,62,151,69
324,523,847,31,32,0.9727063238484597,0,139,149,114,54,59,149,71
326,467,1206,36,40,0.8978221400078777,0,140,150,116,54,57,150,72
326,580,1114,36,38,0.9399817057989155,0,143,153,116,53,61,153,70
326,698,1819,46,48,0.9633425368495482,0,140,148,111,51,63,148,121
328,296,1229,37,40,0.9220512712046032,0,138,147,116,54,53,147,104
328,856,1771,45,48,0.9529570265466293,0,133,139,105,49,62,139,125
329,353,1317,38,41,0.9251950292053784,0,140,149,120,55,49,149,114
330,409,1156,37,37,0.9797450720342624,0,140,149,120,55,49,149,115
378,636,1450,39,44,0.8946600536979179,0,144,155,115,54,65,155,68
381,521,1078,33,39,0.8386507571388082,0,143,155,117,55,62,155,90
382,186,804,29,33,0.8845359287993441,0,145,155,127,57,46,155,103
382,241,1160,35,39,0.9063968804483344,0,140,148,124,56,41,148,102
432,582,1352,39,42,0.933811303781299,0,149,161,121,55,63,161,55
432,695,1527,42,43,0.9761968577043889,0,144,155,115,54,65,155,67
435,633,932,33,34,0.9773787878264361,0,146,157,117,54,64,157,56
436,521,1901,47,49,0.9731813745285094,0,145,157,117,55,64,157,89
438,240,721,26,33,0.8112937421039449,0,144,153,126,56,44,153,101
490,182,1600,43,44,0.9862428371803983,0,146,156,122,55,55,156,99
491,244,1402,39,44,0.8866125284054367,0,147,153,125,51,46,153,100
491,580,1260,38,39,0.9734635177083243,0,150,163,120,55,67,163,54
491,634,1252,38,40,0.9480458854240297,0,148,161,118,55,68,161,53
491,692,1061,35,36,0.9719905334694876,0,147,159,119,55,64,159,52
536,1113,2778,23,219,0.10581404350156101,1,142,150,142,85,13,150,0
546,749,2109,44,58,0.7574294497948719,0,147,158,118,54,64,158,65
546,812,2146,45,57,0.7827740087690739,0,141,151,114,53,62,151,66
550,245,1513,41,45,0.9127873368295022,0,149,159,125,54,54,159,113
550,579,1506,41,43,0.9495123712301411,0,148,161,117,55,69,161,49
550,689,1460,38,46,0.8409568171152005,0,149,162,119,55,67,162,51
551,181,1635,43,45,0.9567553117099582,0,150,157,124,51,53,157,98
552,634,1466,38,46,0.8364084051204348,0,149,162,118,55,69,162,50
587,555,9,0,0,0.0,0,155,174,142,67,46,174,0
601,409,2073,47,52,0.9127503319157643,0,150,163,120,55,67,163,35
606,239,1313,38,41,0.9237970516603065,0,153,163,129,54,53,163,40
642,1029,166,11,17,0.6682728623131909,0,110,116,100,58,35,116,0
654,1115,9,0,0,0.0,1,140,151,149,119,18,151,0
660,240,1611,41,48,0.8371036633156285,0,154,162,125,51,58,162,39
661,408,1061,34,37,0.9272929418106266,0,148,161,117,55,69,161,34
662,471,1845,46,49,0.9395731545143748,0,150,163,119,55,68,163,33
694,1137,318,7,70,0.09928426667009457,1,124,135,157,155,53,157,0
713,298,1400,38,45,0.850207746742451,0,155,167,129,55,58,167,37
716,180,1843,45,49,0.919708070626273,0,153,161,124,51,58,161,97
716,241,1025,35,35,0.9863345012806339,0,157,167,130,53,56,167,38
716,357,1461,41,43,0.9605135667667376,0,156,169,126,55,64,169,36
737,1138,9,0,0,0.0,1,135,149,171,153,53,171,0
747,1137,9,0,0,0.0,0,138,151,170,152,48,170,0
757,1138,9,0,0,0.0,1,135,149,174,154,57,174,0
762,1137,23,3,7,0.4218903465072647,1,135,150,172,152,54,172,0
773,240,1105,35,37,0.9370550097770024,0,157,167,130,53,56,167,43
774,298,1237,38,39,0.9681178585608928,0,155,166,126,54,61,166,42
777,359,1542,41,45,0.9117252514411175,0,155,168,125,55,65,168,41
