x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
9,979,352,5,91,0.06191770090763507,1,126,128,142,164,28,142,0
24,1031,416,15,33,0.47107800272452915,1,93,95,90,59,13,95,0
27,103,12,0,0,0.0,1,75,62,82,197,62,82,0
29,894,9,0,0,0.0,0,131,136,113,51,43,136,0
29,907,31,0,0,0.0,1,133,137,114,49,42,137,0
29,915,22,4,5,0.8660254144230933,1,131,136,116,53,37,136,0
29,940,164,5,45,0.11768725052946638,1,131,136,116,53,37,136,0
29,963,24,0,0,0.0,1,132,136,119,52,31,136,0
29,977,56,4,14,0.29932554313094045,1,132,135,116,49,35,135,0
37,174,178,9,27,0.3526712062096215,1,100,109,97,74,28,109,0
43,188,26,3,7,0.5290811928829949,1,111,117,124,150,26,124,0
59,1061,9,0,0,0.0,1,132,133,119,45,26,133,0
65,1068,53,4,15,0.27017686675020086,1,131,135,121,54,26,135,0
69,130,62,6,12,0.4989721161742974,1,144,159,145,87,24,159,0
78,133,400,8,117,0.07622574590543651,1,140,149,139,80,17,149,0
78,379,9,0,0,0.0,1,130,139,118,60,38,139,0
79,120,14,0,0,0.0,1,142,155,150,111,21,155,0
86,1089,71,4,20,0.21940484893076911,1,132,136,119,52,31,136,0
101,1107,125,8,22,0.36682202488694743,1,96,96,95,42,2,96,0
110,98,129,7,21,0.3612890253887177,1,107,113,100,62,29,113,0
121,1103,9,0,0,0.0,1,110,108,111,198,6,111,0
140,1103,14,0,0,0.0,1,105,112,100,67,27,112,0
155,629,1036,40,41,0.9711891567434182,1,149,159,135,60,38,159,0
155,970,974,31,37,0.8469727626347888,0,135,139,122,52,31,139,147
156,1028,1115,36,36,0.9864627116345435,0,127,128,109,44,37,128,148
160,690,1361,40,45,0.8851002772669716,0,146,154,133,58,34,154,146
161,296,859,32,33,0.9672656355455309,0,148,157,140,65,27,157,120
163,354,1064,30,41,0.7424574749361642,0,143,153,129,60,40,153,151
177,642,9,0,0,0.0,1,146,154,130,56,39,154,0
197,686,87,9,18,0.4857347918931212,1,147,155,133,57,36,155,0
212,1030,818,31,33,0.9523247670287384,0,136,140,125,53,27,140,149
214,632,1212,37,40,0.9283974635999707,0,143,152,125,56,45,152,145
214,973,1374,39,42,0.919628775364316,0,136,141,121,53,36,141,150
215,697,701,37,39,0.9374452444856832,1,152,161,140,60,33,161,0
