x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
15,986,15,0,0,0.0,0,129,136,144,150,26,144,0
15,1022,39,5,8,0.5818489121438023,1,111,115,123,155,24,123,0
23,1033,390,16,28,0.5692514562129507,1,92,95,86,56,24,95,0
25,1047,9,0,0,0.0,1,108,109,112,159,9,112,0
33,177,248,11,28,0.3979729831303019,1,101,104,91,52,31,104,0
63,1065,15,0,0,0.0,1,132,136,130,70,11,136,0
72,145,21,3,7,0.446617533148954,1,141,155,143,91,23,155,0
75,139,23,3,6,0.5365254046950514,1,143,154,144,88,18,154,0
85,131,22,3,7,0.4798733719674893,1,142,154,141,81,21,154,0
91,126,9,0,0,0.0,1,146,153,145,79,13,153,0
93,1095,9,0,0,0.0,0,133,139,127,63,22,139,0
102,1109,155,9,22,0.41197718935039596,1,98,104,90,60,34,104,0
110,103,175,9,22,0.4360342113083106,1,106,116,108,93,21,116,0
149,635,2473,50,60,0.8310341657071275,0,132,139,106,51,60,139,142
151,861,2337,50,56,0.9007360298244154,0,124,128,101,48,53,128,136
153,410,2285,49,57,0.8551163636414303,0,132,138,110,51,51,138,102
206,698,1936,45,53,0.8612011595484619,0,134,144,110,54,60,144,139
208,471,2049,45,55,0.8180426501919458,0,138,147,117,55,52,147,103
211,860,1408,39,43,0.8971395104009366,0,132,136,109,48,50,136,135
211,924,1949,46,51,0.9125984907224362,0,125,129,104,49,49,129,134
213,632,1285,37,41,0.8967253402559541,0,137,147,113,54,58,147,140
214,406,1441,40,43,0.9237103816811887,0,137,146,117,55,50,146,101
215,243,1577,44,44,0.9934333108487009,0,129,135,109,52,49,135,127
263,524,1522,40,45,0.9036463400069167,0,143,153,118,54,58,153,104
264,580,1372,37,44,0.852443175669686,0,142,152,118,54,57,152,128
265,804,1323,38,41,0.9382063302788062,0,139,146,113,51,57,146,70
267,692,951,33,33,0.9896129478664013,0,143,153,119,54,56,153,72
267,748,1208,35,40,0.8867925542671222,0,139,149,115,55,58,149,71
268,407,1510,41,44,0.9415177612926401,0,138,147,118,55,50,147,100
269,638,1160,37,38,0.9686177005772776,0,144,154,120,54,56,154,141
269,859,774,30,31,0.9518505026784295,0,137,143,115,51,49,143,69
269,923,1195,32,45,0.710760079582887,0,133,137,112,49,46,137,133
277,310,29,4,7,0.5900675908987719,0,150,164,151,88,21,164,0
322,692,961,33,34,0.9802328521848366,0,145,155,120,54,57,155,129
322,923,1086,35,37,0.9536941821694556,0,132,136,109,48,50,136,132
323,467,1227,37,39,0.9598981219013293,0,144,156,120,56,58,156,55
323,578,938,32,34,0.9349213369074909,0,145,157,119,55,61,157,24
324,636,1000,34,35,0.9736368724297638,0,146,156,119,53,60,156,32
324,863,1109,36,36,0.9902113324974697,0,140,146,118,51,48,146,68
325,524,1099,36,36,0.993374853389656,0,144,156,118,55,62,156,54
325,805,1150,36,39,0.921958283933183,0,141,148,115,51,56,148,131
327,412,1396,40,41,0.9738026571627019,0,141,151,117,54,57,151,56
327,747,1156,36,38,0.944001088541758,0,143,150,117,51,56,150,130
378,637,784,30,31,0.9717947972848732,0,148,161,119,55,66,161,31
378,860,1029,33,37,0.8823946764036076,0,140,147,114,51,57,147,67
378,927,1612,37,52,0.7216170904666377,0,135,141,113,51,50,141,138
378,1189,12,0,0,0.0,1,15,15,15,0,0,15,0
379,578,969,32,36,0.8763551548746208,0,150,162,126,56,56,162,23
380,298,2022,49,50,0.970651807083421,0,136,146,112,54,59,146,99
380,521,825,30,32,0.949346500781724,0,147,159,119,55,64,159,53
381,356,1662,44,46,0.9522491905310442,0,144,153,124,55,48,153,98
381,694,1122,36,38,0.9382931434667939,0,144,156,120,56,58,156,30
420,99,38,4,9,0.5383815805623607,1,140,151,155,138,24,155,0
434,466,1360,39,42,0.928624053273524,0,146,158,118,55,64,158,97
434,523,1339,39,40,0.9812664537981513,0,151,163,123,55,62,163,52
435,581,1014,34,36,0.9411401309135081,0,151,163,123,55,62,163,22
435,635,1289,38,40,0.9630168342730886,0,150,162,122,55,62,162,21
436,857,1833,44,50,0.8724104854715018,0,140,147,114,51,57,147,66
438,1115,12,0,0,0.0,1,143,152,149,113,15,152,0
439,693,1382,40,41,0.9698592920002554,0,146,158,118,55,64,158,29
441,926,2167,50,54,0.9234397679065341,0,134,140,112,51,51,140,137
447,1110,212,9,35,0.27832362179252834,1,141,150,140,80,16,150,0
486,294,2679,52,62,0.8388914137056251,0,146,156,121,54,57,156,40
491,752,1001,34,35,0.9709453661551041,0,143,154,117,55,61,154,28
493,523,1119,36,37,0.9749207755408086,0,151,166,125,58,62,166,51
493,637,914,30,37,0.8216682111234065,0,153,166,122,55,67,166,20
494,411,911,32,33,0.978942158960172,0,148,161,121,56,63,161,37
494,466,1170,37,38,0.9774474808040722,0,150,163,120,55,67,163,36
547,467,1087,35,37,0.9421253059212722,0,154,169,126,57,64,169,35
547,579,1272,34,45,0.7459712719824294,0,157,172,129,57,63,172,49
547,634,1343,39,41,0.9637077826542213,0,152,167,126,58,62,167,19
547,693,1316,36,43,0.8439973639041967,0,150,162,122,55,62,162,26
547,808,1918,47,49,0.9516506717894452,0,141,151,116,54,59,151,65
548,410,1225,36,40,0.9146906149227166,0,151,166,125,58,62,166,16
549,525,1433,40,43,0.9475819286088524,0,152,168,123,57,68,168,50
549,749,1605,43,46,0.9421094219741253,0,145,157,117,55,64,157,27
550,356,1632,41,48,0.8561571829322845,0,149,161,121,55,63,161,38
553,297,2028,48,51,0.9302725436456754,0,146,156,119,53,60,156,39
602,634,1410,35,48,0.7446236387160409,0,153,169,124,57,67,169,18
605,411,824,31,32,0.9777642396067915,0,156,169,126,55,64,169,15
605,470,1123,35,41,0.8452155546892556,0,157,173,128,57,66,173,34
642,1028,156,11,18,0.5984168196564338,0,114,121,111,72,21,121,0
660,471,1398,39,42,0.9164793688439808,0,154,170,125,57,67,170,33
662,352,1894,46,50,0.9203353352611305,0,150,163,120,55,67,163,13
662,411,1591,41,47,0.8720058158937056,0,153,169,124,57,67,169,14
662,631,1691,43,47,0.9196821590688468,0,153,169,124,57,67,169,17
664,699,2766,52,64,0.8211513895242215,0,148,163,120,57,67,163,25
695,1138,305,4,91,0.05039293800725992,1,128,140,164,155,55,164,0
713,583,1558,43,45,0.9511256472377405,0,157,173,126,56,69,173,3
715,296,1818,43,51,0.8510049755579647,0,150,161,121,54,63,161,12
715,522,1485,41,43,0.9401502304443271,0,153,169,124,57,67,169,4
737,1138,9,0,0,0.0,1,135,150,172,152,54,172,0
772,583,1466,41,42,0.9757131048641858,0,157,173,128,57,66,173,2
773,464,1890,47,49,0.95802467266103,0,154,170,123,56,70,170,9
774,524,1287,39,39,0.9843376116525532,0,156,172,125,56,69,172,5
775,357,2041,48,52,0.9198482860366958,0,155,168,124,55,66,168,10
776,296,1995,48,50,0.9507101269528923,0,152,164,124,55,62,164,11
818,925,2134,44,62,0.7090219127080535,0,135,146,116,58,52,146,60
826,183,2231,49,56,0.8830784816370397,0,152,160,121,51,62,160,79
826,860,1249,37,41,0.9157996429918907,0,141,151,117,54,57,151,57
829,525,952,32,35,0.9407844639318735,0,157,170,124,54,69,170,6
830,589,1554,37,53,0.6946316329999863,0,155,171,124,56,70,171,1
849,1139,9,0,0,0.0,0,134,148,182,157,67,182,0
867,1139,12,0,0,0.0,0,131,146,171,154,59,171,0
874,714,18,0,0,0.0,1,155,173,133,61,58,173,0
881,245,1823,44,50,0.8785247154571372,0,155,165,128,53,57,165,73
882,748,4099,68,76,0.8952465188211912,1,146,161,122,58,61,161,0
885,181,1540,41,46,0.8907167014831724,0,153,161,124,51,58,161,78
886,920,1406,40,42,0.9483940436578103,0,137,147,120,58,46,147,59
888,522,1981,47,51,0.9166656537990983,0,154,170,125,57,67,170,7
888,860,1917,47,49,0.9463812220086832,0,141,152,118,56,57,152,58
889,584,2022,49,50,0.9649125985399077,0,150,166,121,57,69,166,8
912,1138,173,5,47,0.1150943646031803,0,128,143,166,153,58,166,0
935,1042,1918,47,50,0.9432992671746195,0,131,139,115,56,44,139,113
939,185,1206,35,42,0.8434465792686499,0,153,161,123,51,60,161,77
940,413,1226,34,43,0.8006280405647963,0,148,162,113,54,77,162,41
941,975,1423,40,43,0.9353821262466665,0,134,144,117,58,47,144,61
942,250,1455,37,47,0.7880661633924977,0,152,162,125,53,58,162,74
996,918,1024,34,35,0.9681685265795508,0,135,146,116,58,52,146,89
997,977,712,29,29,0.992037051994921,0,134,144,116,57,49,144,62
998,408,2132,49,53,0.9243862612141895,0,149,162,119,55,67,162,42
998,471,2294,50,56,0.8885498628516728,0,148,161,117,55,69,161,43
998,1036,1513,38,48,0.8042855686375415,0,135,145,121,60,42,145,96
999,246,1897,45,53,0.8540002780762758,0,150,158,121,51,59,158,75
1000,180,2036,47,52,0.9051286706261555,0,147,154,120,51,56,154,76
1020,1114,1499,11,181,0.06139617709812838,1,145,155,152,114,16,155,0
1052,859,1773,46,47,0.9662054917146791,0,139,150,120,58,51,150,81
1052,921,876,30,34,0.8774763187710792,0,138,147,120,56,46,147,64
1054,975,663,27,28,0.9674168445832257,0,135,143,119,56,42,143,63
1055,1036,1198,34,42,0.8207997892125601,0,130,138,114,56,44,138,95
1092,1110,18,0,0,0.0,1,136,149,140,98,22,149,0
1100,1118,25,3,9,0.38028323875643066,1,139,153,155,132,26,155,0
1107,1118,22,4,5,0.8660254144230933,1,141,152,154,134,21,154,0
1109,859,1526,41,44,0.9311520569934741,0,139,149,122,58,46,149,82
1109,976,1235,37,40,0.9247286646751957,0,133,141,117,56,43,141,93
1109,1037,1137,35,39,0.9168169424048503,0,128,136,113,57,43,136,94
1111,918,777,29,32,0.8923534372244019,0,137,147,120,58,46,147,90
1134,1115,711,24,71,0.3473777389878558,1,143,152,154,135,18,154,0
1158,519,2206,48,55,0.8771787127009473,0,141,156,117,58,63,156,44
1159,586,2040,47,52,0.9119219885262806,0,141,156,117,58,63,156,45
1161,361,2083,48,52,0.9173646349211562,0,142,154,118,56,59,154,105
1162,297,1747,45,47,0.9580017349433539,0,144,154,120,54,56,154,80
1165,862,1335,39,41,0.9375921344958401,0,138,148,121,58,46,148,83
1166,923,966,34,34,0.9878520218003046,0,138,147,120,56,46,147,91
1166,977,808,30,32,0.9371862536909116,0,137,145,124,58,36,145,92
1166,1038,1249,35,43,0.8071640873842293,0,127,135,112,57,43,135,88
1218,185,2265,50,56,0.8923434619221049,0,139,145,117,51,49,145,112
1221,297,1297,37,42,0.8902134895623423,0,144,154,127,58,44,154,109
1221,358,1414,38,45,0.8557222595475117,0,144,155,121,56,55,155,106
1222,921,1153,36,38,0.9559059008556049,0,134,142,118,56,43,142,85
1224,861,1525,42,44,0.9594844871419835,0,135,144,117,56,47,144,84
1224,1032,1133,36,37,0.9706333128234584,0,125,130,108,52,43,130,87
1225,586,1546,40,49,0.812805043509938,0,142,156,120,59,58,156,46
1225,975,1261,38,40,0.9372415544431817,0,129,137,113,56,44,137,86
1229,523,1713,44,47,0.9313587222163977,0,141,152,120,57,53,152,47
1274,638,2047,47,53,0.8831901090968698,0,137,148,118,58,51,148,121
1276,243,1094,36,37,0.9665632541204072,0,141,146,124,52,38,146,110
1277,185,1009,33,36,0.9111186962970819,0,136,142,116,52,46,142,111
1277,303,1135,35,38,0.9217880810492904,0,143,152,123,55,48,152,108
1278,358,1484,41,44,0.9464331610588437,0,142,153,123,58,49,153,107
1332,923,565,23,29,0.8082941834149079,0,131,138,120,59,33,138,114
1334,698,1996,46,52,0.8907431386522067,0,133,143,116,58,48,143,120
1335,243,1302,38,41,0.914352053334285,0,134,142,118,56,43,142,125
1336,183,2013,48,51,0.9583970962901751,0,131,136,114,52,41,136,126
1336,636,1931,48,49,0.9729911263547005,0,136,146,119,58,47,146,122
1337,298,1675,41,50,0.8235801796792585,0,138,146,123,57,40,146,124
1338,358,1786,45,48,0.9378527255789957,0,137,147,122,59,43,147,123
1338,470,2627,56,58,0.9529271535864383,0,135,145,118,58,47,145,48
1386,752,1706,45,45,0.9926906527358808,0,129,137,114,57,42,137,119
1387,865,1018,34,35,0.9753307571055949,0,126,131,109,52,42,131,115
1442,921,1380,41,41,0.9926628495569729,0,121,126,104,52,44,126,117
1443,865,1267,37,42,0.8788605622338174,0,126,131,111,53,38,131,116
1445,747,1656,43,47,0.9242571080767762,0,126,134,111,57,43,134,118
1448,810,1667,34,59,0.5729406286738559,0,130,138,117,58,38,138,0
1541,110,247,13,34,0.3942821942547029,1,100,114,115,130,33,115,0
1551,1110,107,9,13,0.7260818397269867,1,105,105,109,170,9,109,0
