x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
27,1034,271,12,29,0.42872967971843606,1,93,98,93,85,13,98,0
28,787,12,0,0,0.0,1,106,113,95,59,40,113,0
36,177,228,10,27,0.3927212983097592,1,101,108,100,79,18,108,0
36,1021,15,0,0,0.0,1,119,119,109,42,21,119,0
43,194,9,0,0,0.0,1,126,141,138,118,27,141,0
61,1064,19,0,0,0.0,1,134,136,132,63,7,136,0
64,126,28,4,6,0.7214025639122565,1,139,155,161,139,34,161,0
73,1076,51,4,15,0.28228992798024294,1,133,138,127,61,20,138,0
74,137,86,6,18,0.36279865118782734,1,140,152,152,127,20,152,0
84,1088,51,4,15,0.28221416119658393,1,135,138,129,56,16,138,0
92,1095,15,0,0,0.0,1,132,138,127,65,20,138,0
102,1110,126,6,25,0.25143343424029574,1,99,104,98,77,14,104,0
107,1001,15,0,0,0.0,0,134,140,130,67,18,140,0
112,103,170,9,23,0.41861057519339945,1,108,116,111,100,17,116,0
146,755,756,29,35,0.8361338453868563,0,139,147,124,57,39,147,125
151,479,1130,32,43,0.7313640168568629,0,136,146,121,59,43,146,149
151,917,1401,40,42,0.9581668619854417,0,128,132,107,49,48,132,134
154,636,1473,41,44,0.9342675520439656,0,136,145,118,56,47,145,136
155,860,1319,39,41,0.9469027721886815,0,132,136,113,49,43,136,126
159,698,1247,38,40,0.9646495065888818,0,132,141,112,55,52,141,124
159,799,401,20,23,0.9073693301255572,0,137,142,121,52,37,142,0
198,412,543,24,27,0.9167884656530385,0,142,152,131,62,35,152,147
200,762,132,12,12,0.955329061276526,1,142,150,132,61,30,150,0
202,809,187,11,21,0.5474865357675786,1,142,150,126,56,40,150,0
211,471,627,26,28,0.9423979852290963,0,140,150,126,60,40,150,148
211,694,1472,40,44,0.9170209701333004,0,140,149,122,56,46,149,123
211,862,1548,41,45,0.928321680240622,0,136,141,118,51,41,141,127
212,750,168,8,28,0.3185273695200499,1,149,158,137,60,33,158,0
212,920,1601,42,45,0.9399877508636243,0,133,136,115,48,39,136,133
