x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
18,953,3065,4,298,0.01599936115335888,1,130,135,112,51,43,135,0
22,129,98,6,19,0.3090824772804698,1,53,64,90,157,104,90,0
33,175,175,8,27,0.315528653207355,1,102,101,93,37,22,102,0
40,190,26,3,7,0.5290811928829949,1,116,127,120,100,22,127,0
68,1086,452,14,44,0.319795284910274,1,132,138,115,53,42,138,0
74,128,486,15,50,0.3056749242943843,1,142,153,131,63,36,153,0
103,1106,202,10,27,0.40310703829743544,1,83,86,94,158,29,94,0
106,100,139,10,23,0.4477762212838441,1,104,110,96,60,32,110,0
121,1100,16,0,0,0.0,1,112,113,105,47,18,113,0
142,1102,9,0,0,0.0,1,104,109,111,139,16,111,0
147,692,1465,41,43,0.9725260430752403,0,134,140,112,51,51,140,204
152,973,1090,35,37,0.9602608035207167,0,124,126,102,46,48,126,207
153,636,1259,38,39,0.9787944345612255,0,136,142,114,51,50,142,168
155,577,1066,35,36,0.961372389630103,0,125,131,103,51,54,131,167
157,352,792,29,32,0.9027096384809096,0,124,129,106,51,45,129,213
159,297,1015,34,35,0.9648524189083973,0,134,138,113,49,46,138,212
209,1036,1545,42,44,0.9667435808795485,0,122,124,102,46,45,124,208
210,694,1346,39,42,0.9290416641370918,0,140,147,114,51,57,147,203
211,579,921,33,33,0.9804798569202995,0,130,140,106,55,61,140,166
211,637,1175,37,38,0.9566627552004989,0,142,149,116,51,56,149,202
212,353,1126,35,39,0.9188526061874019,0,138,147,118,55,50,147,214
212,467,1253,37,40,0.9328482997664033,0,122,128,100,51,55,128,216
212,971,1916,47,49,0.9765076529401157,0,129,131,109,46,42,131,206
213,298,956,34,34,0.9911858175487385,0,138,147,120,56,46,147,211
214,409,1103,35,38,0.9255711802456555,0,130,136,108,51,52,136,215
263,638,1161,37,37,0.9871363125477723,0,145,155,121,54,55,155,201
264,806,1239,38,39,0.9910621817938613,0,129,133,106,48,51,133,205
266,693,1224,38,38,0.9919292602920275,0,144,154,120,54,56,154,152
266,747,811,31,31,0.989763554445672,0,139,146,113,51,57,146,151
267,298,1075,35,37,0.9531250642780332,0,122,131,103,56,54,131,210
267,577,895,32,33,0.9580411411424982,0,136,145,118,56,47,145,165
