x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
9,915,12,0,0,0.0,0,165,163,164,233,3,165,0
9,953,12,0,0,0.0,0,164,161,156,26,12,164,0
9,964,12,0,0,0.0,0,162,159,155,24,11,162,0
9,1014,15,0,0,0.0,0,159,156,152,24,11,159,0
22,1033,336,14,37,0.3854115422499872,1,120,114,100,29,42,120,0
23,130,40,3,13,0.30178790552358203,1,117,93,110,224,52,117,0
24,987,27,5,6,0.8697190855579614,1,156,159,130,46,46,159,0
24,993,18,0,0,0.0,1,156,158,137,46,33,158,0
25,936,465,5,97,0.05864684042554188,1,157,160,131,46,46,160,0
35,901,12,0,0,0.0,1,158,157,155,28,4,158,0
35,910,9,0,0,0.0,1,156,156,152,42,6,156,0
36,894,9,0,0,0.0,1,155,155,145,42,16,155,0
37,175,192,14,24,0.6046274453516808,1,133,151,148,120,30,151,0
38,203,190,6,37,0.16972810276608802,1,136,145,140,103,15,145,0
60,1068,9,0,0,0.0,0,159,157,136,38,36,159,0
70,128,573,14,54,0.27013303344829304,1,174,176,160,47,23,176,0
83,1091,41,4,12,0.3338514923230431,1,157,159,137,46,35,159,0
90,1097,9,0,0,0.0,1,156,158,136,46,35,158,0
100,1108,110,9,17,0.5340804811362043,1,124,125,109,45,32,125,0
103,98,56,5,13,0.381875324885784,1,129,133,115,51,34,133,0
110,112,26,4,6,0.7070429366373457,1,143,144,148,161,8,148,0
112,558,15,0,0,0.0,0,169,177,153,56,34,177,0
119,1104,30,3,10,0.34616991120996143,1,121,121,121,0,0,121,0
155,180,1067,34,37,0.927636024833276,0,162,163,131,43,50,163,190
157,406,1592,43,44,0.9840648895468734,0,167,171,136,47,52,171,166
157,470,1630,42,46,0.91544782919167,0,166,170,133,47,55,170,165
158,239,1623,44,45,0.9760396594643893,0,164,164,133,42,48,164,189
158,748,1337,38,42,0.9220874425632205,0,166,168,128,44,60,168,182
159,806,1651,44,46,0.9459553936181778,0,166,166,130,42,55,166,183
159,972,2233,51,52,0.982566184611802,0,160,155,125,36,55,160,210
160,690,1316,37,43,0.8416944100344019,0,168,170,133,44,55,170,181
164,633,1532,41,45,0.9224317615229445,0,169,171,134,44,55,171,180
165,521,301,17,21,0.8008244048483633,0,171,175,142,47,48,175,0
215,465,1494,40,44,0.9131101445959111,0,172,176,139,47,53,176,164
216,181,1686,44,45,0.9780056769942806,0,171,172,140,43,47,172,191
216,241,1454,39,45,0.8760639320831951,0,173,174,142,43,46,174,188
216,635,1268,38,40,0.9581114938111955,0,171,176,136,47,57,176,179
218,401,1362,38,43,0.8750078278030269,0,168,172,137,47,51,172,167
218,689,1170,35,40,0.8883935347332029,0,171,173,136,44,54,173,178
218,745,1194,37,38,0.981273857889789,0,171,173,134,44,57,173,174
218,803,1351,40,40,0.9995571586541487,0,170,170,136,42,50,170,173
267,109,1319,8,275,0.029816553590671032,1,142,142,137,42,8,142,0
269,920,1580,42,45,0.9405663408449648,0,167,166,135,41,48,167,208
270,519,1329,38,42,0.9144340114739009,0,176,181,140,47,57,181,163
270,746,1167,37,38,0.9709171401909285,0,175,177,140,44,53,177,175
270,801,644,26,29,0.8946189103242143,0,176,173,137,39,56,176,172
270,860,1278,38,40,0.9388097440388136,0,171,171,137,42,50,171,184
271,181,1165,35,40,0.8919308491346842,0,178,175,142,38,51,178,192
271,632,1131,36,38,0.9396907306236573,0,174,179,139,47,56,179,112
273,242,1523,40,46,0.8821609727386815,0,179,181,141,44,56,181,187
273,408,1178,36,40,0.8935329860988577,0,171,175,138,47,53,175,168
273,688,1271,38,40,0.9522223634846756,0,174,179,139,47,56,179,176
274,577,1221,36,41,0.8762242482996097,0,176,181,140,47,57,181,111
324,801,694,27,30,0.9320995687533785,0,176,176,140,42,52,176,171
326,180,1581,41,46,0.9075209049263712,0,176,176,140,42,52,176,152
326,747,1171,37,38,0.9756575241777952,0,177,179,140,44,55,179,170
327,238,884,31,34,0.9343181513331111,0,174,175,141,43,49,175,186
328,515,881,30,35,0.8800398983337794,0,176,182,138,48,61,182,162
328,920,1407,41,42,0.9743505246528885,0,171,171,137,42,50,171,207
329,576,1406,40,42,0.9750809316886327,0,177,182,141,47,57,182,110
329,858,1431,40,43,0.9312957506559462,0,175,175,139,42,52,175,209
331,686,1465,40,44,0.9188427749610446,0,178,183,142,47,57,183,177
382,292,1507,41,44,0.9381989278606313,0,165,167,128,44,59,167,149
382,807,974,34,34,0.9844651717701521,0,178,180,138,44,59,180,56
383,521,1194,38,38,0.9926240965799107,0,181,186,143,47,58,186,161
383,748,1321,39,40,0.9768836066090354,0,174,176,136,44,57,176,169
383,973,1509,41,44,0.936150300495864,0,169,168,137,41,48,169,205
384,353,1545,43,44,0.9701257533848646,0,175,180,140,47,56,180,185
384,912,181,14,14,0.9490226602154848,0,175,179,145,47,48,179,0
385,1033,1614,41,47,0.8636270605272313,0,162,163,132,43,48,163,204
386,181,1474,41,43,0.9591779993700781,0,165,166,132,43,52,166,151
386,233,1269,38,40,0.9600005454458163,0,179,181,144,44,52,181,150
386,580,1487,42,43,0.9832605744807819,0,180,187,143,49,59,187,109
399,1107,48,0,0,0.0,1,153,155,139,47,26,155,0
438,575,840,30,33,0.9187824349967454,0,181,190,137,49,71,190,108
438,972,869,31,33,0.9667613499157925,0,170,170,136,42,50,170,206
439,519,852,31,32,0.9733497649111084,0,176,183,132,48,71,183,107
439,804,986,34,35,0.9721359717992833,0,181,181,143,42,53,181,55
440,1035,1452,39,45,0.8721941281791823,0,166,167,136,43,47,167,203
441,178,976,34,34,0.9727866391258911,0,178,178,140,42,54,178,72
441,237,1056,35,36,0.9708565041777435,0,188,190,151,44,52,190,120
442,296,1267,38,40,0.9588055843747058,0,183,185,145,44,55,185,147
443,351,1244,38,39,0.9621759420068658,0,183,188,147,47,55,188,146
443,747,1288,39,39,0.9850784292143193,0,179,185,141,48,60,185,54
443,1110,226,7,36,0.21555893015617722,1,170,172,159,49,19,172,0
452,851,12,0,0,0.0,0,181,187,161,52,35,187,0
475,2,49,7,9,0.7197655866923669,0,26,20,20,0,58,26,0
475,14,28,3,8,0.4333927028087731,1,29,24,24,0,43,29,0
487,1134,15,0,0,0.0,1,168,172,191,162,30,191,0
490,1,15,0,0,0.0,0,35,21,19,5,116,35,0
491,943,23,4,5,0.8660254144230933,1,176,180,148,47,45,180,0
494,972,1081,35,36,0.9841391417181076,0,176,177,143,43,48,177,96
495,179,1521,41,45,0.9086305386767991,0,185,185,149,42,49,185,71
495,689,1391,39,43,0.9111551825403261,0,182,188,141,47,63,188,91
495,748,1087,35,36,0.9670852013025854,0,186,192,146,48,61,192,53
495,918,1290,38,41,0.9195086908939516,1,177,179,142,44,52,179,0
