x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
8,1011,9,0,0,0.0,1,142,150,159,150,27,159,0
9,948,50,4,15,0.2703057586373066,1,145,152,162,152,26,162,0
9,976,88,6,24,0.26224923990387383,1,145,153,155,135,16,155,0
9,998,9,0,0,0.0,1,144,153,149,108,14,153,0
10,908,9,0,0,0.0,1,147,153,146,78,11,153,0
10,917,18,0,0,0.0,1,148,154,151,106,9,154,0
10,931,24,0,0,0.0,1,148,153,147,77,10,153,0
14,998,9,0,0,0.0,1,142,149,132,60,29,149,0
21,972,1927,66,265,0.2506684534970446,1,141,143,122,46,37,143,0
44,252,9,0,0,0.0,1,147,162,158,116,23,162,0
44,260,9,0,0,0.0,1,146,161,156,113,23,161,0
69,1085,479,12,52,0.2485750834915311,1,143,144,126,44,31,144,0
72,128,488,12,88,0.14533203140027062,1,157,169,146,64,34,169,0
102,1105,204,13,25,0.5107122384479574,1,94,94,102,170,20,102,0
111,556,16,0,0,0.0,0,155,170,151,76,28,170,0
120,1100,17,0,0,0.0,1,113,115,115,127,4,115,0
281,901,14,0,0,0.0,0,158,167,149,63,27,167,0
284,637,20,0,0,0.0,0,151,166,145,72,32,166,0
306,112,9,0,0,0.0,1,157,170,165,111,19,170,0
350,110,9,0,0,0.0,1,156,165,161,108,13,165,0
354,171,26,4,7,0.5847500360794473,0,157,171,157,85,20,171,0
383,353,15,0,0,0.0,0,166,184,162,77,30,184,0
385,109,107,4,29,0.15484307733966493,1,153,165,165,127,18,165,0
387,1197,12,0,0,0.0,1,15,15,15,0,0,15,0
452,850,12,0,0,0.0,0,156,168,148,67,30,168,0
636,571,15,0,0,0.0,0,169,194,155,69,51,194,0
677,770,16,0,0,0.0,0,169,188,158,69,40,188,0
724,1136,605,4,162,0.030426391735393615,1,137,153,169,148,48,169,0
750,402,9,0,0,0.0,0,178,200,162,67,48,200,0
759,841,94,6,18,0.334515355094739,0,163,181,155,71,36,181,0
804,1136,61,4,17,0.2399650971562318,1,140,154,181,155,57,181,0
851,1121,12,0,0,0.0,1,148,162,165,135,26,165,0
871,1121,12,0,0,0.0,1,148,163,160,119,23,163,0
878,1137,548,4,128,0.03761741421982605,1,134,142,164,158,46,164,0
939,561,9,0,0,0.0,0,178,200,161,66,49,200,0
941,982,3013,57,66,0.8654003775612394,0,138,145,111,51,59,145,3
960,403,9,0,0,0.0,0,178,200,162,67,48,200,0
960,556,25,4,5,0.7827166856750731,0,162,184,146,67,52,184,0
1011,978,2346,44,65,0.6832809700566413,0,139,146,113,51,57,146,2
1061,295,3920,67,74,0.8985358423904657,0,154,161,119,49,66,161,1
1471,185,3080,406,950,0.42797584128367033,1,165,175,164,81,16,175,0
1553,1109,28,4,7,0.6364543964263945,1,98,99,120,168,46,120,0
1563,483,48,4,15,0.25118804837675385,1,140,143,145,144,8,145,0
1564,497,12,0,0,0.0,1,136,147,150,136,23,150,0
1564,711,563,3,197,0.017856609154027234,1,137,143,147,144,17,147,0
1564,892,889,5,202,0.024775723331618513,1,134,137,128,56,16,137,0
1565,1055,488,8,95,0.09083614439834556,1,118,125,133,150,28,133,0
1573,165,36,0,0,0.0,1,147,156,135,60,34,156,0
1573,175,18,0,0,0.0,1,148,156,136,59,32,156,0
1573,226,337,5,97,0.0551699732893937,1,145,154,133,60,34,154,0
1574,295,112,4,68,0.0608550650050236,1,149,154,135,53,31,154,0
1574,318,80,4,22,0.20938708157235666,1,149,151,133,47,30,151,0
1581,955,16,0,0,0.0,1,140,150,132,66,30,150,0
1582,798,53,3,21,0.1581207070956685,1,144,155,138,69,27,155,0
1582,913,55,4,17,0.2630052862331286,1,141,152,136,71,26,152,0
1582,990,57,6,15,0.4243562318279269,1,140,151,132,67,32,151,0
1583,579,32,5,5,1.0,1,144,154,132,61,36,154,0
1583,641,15,0,0,0.0,1,145,157,135,65,35,157,0
1583,651,18,0,0,0.0,1,144,156,134,65,35,156,0
1583,719,60,4,13,0.33606956267682236,1,145,156,137,67,31,156,0
1583,861,16,0,0,0.0,1,141,155,135,72,32,155,0
1583,902,9,0,0,0.0,1,141,152,133,67,31,152,0
1583,939,24,0,0,0.0,1,140,151,134,69,28,151,0
1583,1035,27,0,0,0.0,1,145,150,137,58,22,150,0
1583,1062,9,0,0,0.0,1,144,151,133,59,30,151,0
1584,608,12,0,0,0.0,1,144,155,139,71,26,155,0
1584,1026,9,0,0,0.0,1,142,152,143,89,16,152,0
1585,553,12,0,0,0.0,1,144,156,144,85,19,156,0
1585,593,12,0,0,0.0,1,145,153,144,80,14,153,0
1589,577,280,9,46,0.20804541164654913,1,148,158,152,101,16,158,0
1590,180,407,4,123,0.03632697798179887,1,152,160,165,143,20,165,0
1590,257,149,5,42,0.1252216432941251,1,151,156,162,150,17,162,0
1590,307,190,3,62,0.060673044647595056,1,147,161,162,130,23,162,0
1590,677,68,5,19,0.2627142025792896,1,148,157,156,122,14,157,0
1590,692,18,0,0,0.0,1,146,157,155,119,17,157,0
1591,701,27,0,0,0.0,1,148,157,161,140,20,161,0
