x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
8,981,27,0,0,0.0,1,146,155,159,140,20,159,0
8,1008,30,0,0,0.0,0,146,153,151,115,11,153,0
9,906,24,0,0,0.0,1,147,157,159,134,19,159,0
9,919,45,0,0,0.0,1,152,156,160,148,12,160,0
9,932,12,0,0,0.0,1,151,154,159,154,12,159,0
9,939,24,0,0,0.0,1,151,155,159,148,12,159,0
9,949,27,0,0,0.0,1,149,154,154,127,8,154,0
9,965,36,0,0,0.0,1,150,154,153,116,6,154,0
22,130,79,6,16,0.3657087694548925,1,67,76,104,159,90,104,0
22,1032,358,15,36,0.42465725723540737,1,103,106,95,54,26,106,0
25,996,23,0,0,0.0,1,143,148,134,57,24,148,0
26,355,9,0,0,0.0,1,112,123,109,75,29,123,0
26,944,380,4,89,0.05327170047954298,1,145,152,136,61,26,152,0
32,346,15,0,0,0.0,1,123,129,117,63,23,129,0
34,175,181,9,27,0.3463914904691658,1,109,115,107,74,17,115,0
40,192,46,5,13,0.39328085914112376,1,129,140,146,142,29,146,0
41,253,87,0,0,0.0,1,147,159,164,139,26,164,0
42,202,15,0,0,0.0,1,148,159,161,134,20,161,0
42,219,24,0,0,0.0,1,148,161,165,137,26,165,0
42,227,15,0,0,0.0,1,148,159,164,140,24,164,0
57,150,9,0,0,0.0,1,150,163,149,81,21,163,0
58,1066,20,0,0,0.0,0,143,150,133,60,28,150,0
63,131,15,0,0,0.0,1,155,172,166,112,25,172,0
69,125,25,3,6,0.52498223758074,1,160,173,161,88,19,173,0
75,1083,14,0,0,0.0,1,142,149,134,62,25,149,0
76,130,290,6,56,0.11258835495942157,1,154,164,150,72,21,164,0
85,1092,27,3,9,0.3716011416315487,1,143,150,132,59,30,150,0
100,1107,111,10,18,0.5689085429761097,1,113,116,107,56,19,116,0
107,101,144,7,26,0.30271304567900775,1,114,122,107,65,31,122,0
111,556,15,0,0,0.0,0,156,171,158,90,22,171,0
119,1104,29,3,10,0.30434281545257547,1,110,112,117,157,15,117,0
140,110,66,0,0,0.0,1,149,161,161,127,19,161,0
165,110,33,0,0,0.0,1,156,166,167,131,16,167,0
178,110,33,4,11,0.3670271809770808,1,157,168,168,127,16,168,0
227,110,24,0,0,0.0,1,156,167,161,104,16,167,0
254,110,12,0,0,0.0,1,155,168,162,107,19,168,0
273,721,4908,77,80,0.959228155802797,1,71,70,51,40,71,71,0
283,637,19,0,0,0.0,0,158,175,156,80,27,175,0
295,110,9,0,0,0.0,1,157,168,162,104,16,168,0
299,207,9,0,0,0.0,0,167,182,175,107,21,182,0
299,1105,42,0,0,0.0,1,130,135,138,143,14,138,0
308,110,36,0,0,0.0,1,157,169,157,85,18,169,0
315,713,12,0,0,0.0,1,141,151,124,58,45,151,0
325,110,15,0,0,0.0,1,160,168,157,73,16,168,0
354,170,30,5,6,0.8207586587694418,0,163,179,169,100,22,179,0
373,109,20,0,0,0.0,1,153,168,167,124,22,168,0
383,352,12,0,0,0.0,0,168,186,172,94,24,186,0
386,1106,184,4,51,0.08255172122615113,1,116,121,117,93,10,121,0
388,1197,12,0,0,0.0,1,16,16,16,0,0,16,0
389,109,84,4,26,0.15471459431568776,1,155,166,168,134,19,168,0
419,1108,18,0,0,0.0,1,144,153,150,113,14,153,0
452,850,12,0,0,0.0,0,156,173,154,80,28,173,0
468,744,9,0,0,0.0,0,170,190,165,76,33,190,0
637,571,18,0,0,0.0,0,170,194,162,74,42,194,0
677,770,16,0,0,0.0,0,173,193,166,73,35,193,0
720,629,5817,77,93,0.8332485462508505,0,159,175,128,56,68,175,0
758,842,88,5,19,0.304406870823315,0,168,187,165,79,29,187,0
793,922,9,0,0,0.0,1,160,172,148,63,35,172,0
833,914,3987,67,76,0.8724151139813335,1,143,154,121,56,54,154,0
844,526,9,0,0,0.0,0,181,207,172,74,43,207,0
960,556,20,0,0,0.0,0,160,184,154,76,41,184,0
975,108,15,0,0,0.0,1,179,193,177,79,21,193,0
992,109,9,0,0,0.0,1,176,192,182,100,21,192,0
1017,109,12,0,0,0.0,1,174,190,177,92,21,190,0
1040,109,9,0,0,0.0,1,174,191,179,97,22,191,0
1048,110,9,0,0,0.0,1,173,189,179,100,21,189,0
1060,1002,18,0,0,0.0,0,150,166,156,100,24,166,0
1067,110,12,0,0,0.0,1,171,188,178,102,23,188,0
1077,109,38,3,12,0.2866934706362662,1,171,188,179,104,23,188,0
1117,110,38,4,9,0.4918331551669107,1,168,186,177,106,24,186,0
1164,111,46,6,10,0.6425190745419893,1,162,181,177,118,26,181,0
1202,1106,59,5,15,0.3198498251304503,1,130,139,141,135,19,141,0
1289,492,12,0,0,0.0,0,164,183,163,82,27,183,0
1327,220,12,0,0,0.0,0,163,176,169,104,18,176,0
1542,1106,27,0,0,0.0,1,121,127,138,155,31,138,0
1555,1106,65,4,15,0.32522886949522417,1,103,103,109,170,14,109,0
1559,100,68,5,14,0.3712439041836175,1,109,109,109,0,0,109,0
1560,850,33,0,0,0.0,1,134,149,152,134,30,152,0
1563,1094,71,6,12,0.5576923878060849,1,126,126,126,0,0,126,0
1575,320,415,4,116,0.04055369613847756,1,148,157,136,60,34,157,0
1583,766,9,0,0,0.0,1,147,160,143,75,27,160,0
1583,862,21,4,5,0.7715446419758838,1,144,157,140,75,27,157,0
1583,901,18,0,0,0.0,1,143,154,138,71,26,154,0
1583,1035,32,0,0,0.0,1,144,155,139,71,26,155,0
1583,1042,12,0,0,0.0,1,144,155,139,71,26,155,0
1584,972,30,0,0,0.0,1,146,154,143,73,18,154,0
1584,983,12,0,0,0.0,1,145,153,142,73,18,153,0
