x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
9,906,37,4,11,0.37870843471156557,1,147,155,168,153,31,168,0
9,923,27,3,13,0.24011151092662247,1,147,155,168,153,31,168,0
9,961,225,4,69,0.05953547055801707,1,149,153,156,145,11,156,0
9,1012,9,0,0,0.0,0,145,149,150,135,8,150,0
10,915,12,0,0,0.0,1,147,155,146,80,14,155,0
17,910,68,3,22,0.17490714970017815,1,146,152,138,60,23,152,0
18,981,12,0,0,0.0,1,143,150,132,59,30,150,0
22,129,97,5,20,0.29198321992468784,1,58,69,98,158,104,98,0
24,975,1329,52,212,0.2451945468846987,1,139,144,124,53,35,144,0
27,451,15,0,0,0.0,1,120,125,104,52,42,125,0
33,175,179,8,35,0.24504493644207836,1,101,107,87,55,47,107,0
39,191,55,5,15,0.32956342976820374,1,120,130,131,131,21,131,0
40,898,9,0,0,0.0,1,134,146,138,99,20,146,0
41,258,83,4,27,0.1497200092520372,1,147,156,155,122,14,156,0
42,221,15,0,0,0.0,1,146,157,157,127,17,157,0
60,1068,33,4,7,0.5911880935687425,0,140,145,127,54,31,145,0
72,128,577,9,213,0.04470674213887658,1,153,163,148,70,23,163,0
80,1087,16,0,0,0.0,1,142,144,128,47,28,144,0
87,1094,41,3,11,0.318432636875467,1,141,146,123,51,40,146,0
102,1102,259,16,23,0.7048126455720053,1,99,120,124,134,51,124,0
104,96,88,6,16,0.4137451643961916,1,113,121,113,85,16,121,0
111,111,19,0,0,0.0,1,128,143,144,130,28,144,0
111,556,15,0,0,0.0,0,156,171,153,77,26,171,0
121,1103,103,6,19,0.3206697300539892,1,100,98,103,186,12,103,0
170,110,35,4,11,0.3580200441855051,1,147,158,155,115,17,158,0
181,111,12,0,0,0.0,1,156,158,154,63,6,158,0
203,110,24,0,0,0.0,1,152,158,155,106,9,158,0
223,110,72,6,18,0.3676250580112534,1,149,158,155,113,14,158,0
235,110,21,3,8,0.37711663623277525,1,151,156,154,110,8,156,0
246,110,60,5,17,0.30190288746152055,1,149,158,152,99,14,158,0
266,108,101,6,20,0.34251466343960046,1,142,150,141,80,15,150,0
281,110,9,0,0,0.0,1,153,160,147,65,20,160,0
283,637,24,0,0,0.0,0,153,170,154,87,25,170,0
298,207,9,0,0,0.0,0,164,177,166,91,18,177,0
351,108,439,5,114,0.046808415605343406,1,139,155,156,130,27,156,0
354,171,31,5,6,0.7745966358458639,0,155,169,154,82,22,169,0
382,352,16,0,0,0.0,0,165,182,162,78,28,182,0
414,100,26,5,6,0.8963035270436378,1,157,170,145,64,37,170,0
452,850,9,0,0,0.0,0,157,174,156,82,26,174,0
561,1133,9,0,0,0.0,0,149,158,187,159,51,187,0
595,1133,12,0,0,0.0,1,148,160,176,151,40,176,0
602,1133,20,0,0,0.0,1,146,159,180,153,48,180,0
614,1134,18,0,0,0.0,1,147,156,188,160,55,188,0
644,1134,21,0,0,0.0,0,147,160,189,156,56,189,0
728,765,9,0,0,0.0,0,170,193,167,80,34,193,0
790,706,15,0,0,0.0,0,170,193,164,76,38,193,0
827,1135,1679,7,373,0.01910988173308121,1,145,160,183,153,52,183,0
932,810,9,0,0,0.0,0,166,188,165,83,31,188,0
949,107,9,0,0,0.0,1,172,185,190,139,24,190,0
954,552,23,4,5,0.8660254144230933,0,150,175,136,69,56,175,0
961,420,12,0,0,0.0,0,176,198,160,67,48,198,0
1035,1134,36,0,0,0.0,1,139,150,185,159,63,185,0
1045,1134,9,0,0,0.0,1,142,147,182,164,56,182,0
1049,1134,12,0,0,0.0,1,146,150,186,165,54,186,0
1073,235,12,0,0,0.0,0,167,183,157,68,36,183,0
1284,356,12,0,0,0.0,0,158,176,155,78,30,176,0
1464,189,3831,266,339,0.7849591005807328,1,164,174,163,81,16,174,0
1556,1108,82,7,14,0.5488573682693146,1,92,97,112,159,45,112,0
1565,578,515,4,184,0.025087759133732342,1,138,148,147,123,17,148,0
1565,699,12,0,0,0.0,1,139,150,148,119,18,150,0
1566,675,24,0,0,0.0,1,141,150,156,144,24,156,0
1566,865,9,0,0,0.0,1,136,151,144,107,25,151,0
1570,913,46,5,12,0.4274695194747971,0,139,150,136,75,23,150,0
1571,799,110,10,29,0.36891615627237095,1,145,154,141,71,21,154,0
1571,841,18,0,0,0.0,0,143,152,137,67,25,152,0
1571,861,15,0,0,0.0,1,142,150,139,73,18,150,0
1571,866,9,0,0,0.0,1,142,151,139,74,20,151,0
1571,931,18,0,0,0.0,1,139,149,136,75,22,149,0
1571,949,93,6,20,0.3480869083314827,1,140,147,138,75,15,147,0
1571,1021,515,8,106,0.07635030037741823,1,141,147,133,60,24,147,0
1571,1094,238,16,20,0.802516877620491,1,136,145,127,63,31,145,0
1572,195,108,4,32,0.13565892702990912,1,145,156,138,68,29,156,0
1572,229,12,0,0,0.0,1,145,156,138,68,29,156,0
1572,238,9,0,0,0.0,1,145,156,138,68,29,156,0
1572,736,42,4,13,0.32798459472073477,1,144,155,140,73,24,155,0
1572,770,67,5,18,0.29816533653783356,1,144,155,138,69,27,155,0
1572,817,18,0,0,0.0,1,143,152,144,89,15,152,0
1573,166,9,0,0,0.0,1,145,156,139,70,27,156,0
1573,305,12,0,0,0.0,1,143,155,138,72,27,155,0
