x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
7,957,24,4,6,0.7016431770771415,0,139,147,158,152,30,158,0
7,1007,12,0,0,0.0,0,139,146,160,155,33,160,0
7,1012,14,0,0,0.0,0,139,147,158,152,30,158,0
8,935,39,0,0,0.0,1,140,152,151,123,20,152,0
8,947,21,0,0,0.0,1,143,151,151,127,13,151,0
8,967,30,0,0,0.0,1,141,150,138,74,20,150,0
8,980,12,0,0,0.0,1,140,148,148,127,13,148,0
8,990,27,0,0,0.0,1,140,149,145,108,15,149,0
18,957,2377,34,158,0.2180436019984828,1,138,148,121,58,46,148,0
31,1021,29,4,7,0.52119010191902,1,116,122,122,127,12,122,0
32,174,189,9,26,0.37486311471663636,1,101,111,90,62,48,111,0
37,907,12,0,0,0.0,1,134,140,135,92,10,140,0
38,192,51,5,15,0.3344470338686694,1,137,149,145,113,20,149,0
38,897,12,0,0,0.0,1,131,140,127,71,23,140,0
69,1085,433,13,45,0.29285208983839306,1,142,144,123,46,37,144,0
74,128,519,7,96,0.08152286230083046,1,151,163,144,69,29,163,0
99,1107,144,11,21,0.5279517472661819,1,106,107,108,148,4,108,0
104,98,112,6,20,0.3014909904002098,1,114,121,110,69,23,121,0
110,111,15,0,0,0.0,1,134,148,153,138,31,153,0
111,556,15,0,0,0.0,0,151,163,142,66,32,163,0
118,245,9,0,0,0.0,0,153,168,149,76,28,168,0
118,1102,21,3,6,0.5774471325813738,1,108,103,101,12,16,108,0
276,106,1136,8,263,0.033727892386778056,1,136,145,142,113,15,145,0
284,637,20,0,0,0.0,0,148,163,140,70,35,163,0
354,170,34,4,7,0.6217884537067393,0,155,167,147,68,30,167,0
383,353,9,0,0,0.0,0,163,178,155,70,32,178,0
452,850,9,0,0,0.0,0,155,167,145,65,33,167,0
637,571,18,0,0,0.0,0,166,190,158,74,42,190,0
652,716,9,0,0,0.0,0,172,192,164,72,37,192,0
677,770,15,0,0,0.0,0,169,189,162,73,36,189,0
759,841,97,7,17,0.3991430675304036,0,161,179,157,77,31,179,0
789,705,14,0,0,0.0,0,174,197,167,75,38,197,0
791,796,9,0,0,0.0,0,166,186,161,76,34,186,0
845,559,9,0,0,0.0,0,179,203,169,72,42,203,0
885,325,12,0,0,0.0,0,179,198,168,69,38,198,0
