x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
8,1010,30,3,10,0.3350711434160809,0,156,158,161,153,7,161,0
9,916,30,0,0,0.0,0,164,164,172,170,11,172,0
9,936,42,4,13,0.32798459472073477,1,163,162,162,0,1,163,0
9,956,69,0,0,0.0,1,164,160,161,244,6,164,0
9,988,30,0,0,0.0,0,163,159,156,18,10,163,0
22,129,40,3,13,0.30178790552358203,1,114,92,103,233,49,114,0
22,1033,341,14,33,0.4229572497220854,1,117,115,100,37,37,117,0
26,949,531,5,107,0.05505347358275843,0,157,158,134,44,38,158,0
32,174,189,10,29,0.3625097270989174,1,125,128,110,49,35,128,0
32,1022,26,4,7,0.5847500360794473,1,135,130,112,33,43,135,0
38,191,68,5,16,0.3422550685572006,1,135,138,136,99,5,138,0
40,257,123,4,43,0.09650019445568848,1,162,166,163,95,6,166,0
60,1067,23,3,6,0.5365254046950514,1,154,156,135,46,34,156,0
66,1071,12,0,0,0.0,1,155,158,135,48,37,158,0
72,131,448,8,74,0.11594036727805886,1,171,175,158,52,24,175,0
82,1089,72,4,19,0.22695240460204436,1,156,155,137,40,31,156,0
101,1106,114,10,18,0.590736393607452,1,133,130,117,34,30,133,0
104,99,86,5,18,0.3086927608840887,1,130,134,117,52,32,134,0
109,110,21,3,6,0.5774471325813738,1,148,153,154,134,9,154,0
110,556,14,0,0,0.0,0,170,177,159,59,25,177,0
119,246,12,0,0,0.0,0,176,185,168,65,23,185,0
120,1104,33,4,7,0.5525841599124295,1,110,113,112,113,6,113,0
128,236,9,0,0,0.0,1,187,194,178,61,21,194,0
129,192,9,0,0,0.0,1,185,194,177,65,22,194,0
131,233,9,0,0,0.0,1,187,194,178,61,21,194,0
135,194,15,0,0,0.0,1,188,194,180,60,18,194,0
139,229,16,0,0,0.0,1,188,195,179,61,20,195,0
142,220,9,0,0,0.0,1,188,195,175,57,26,195,0
145,226,18,0,0,0.0,1,188,195,179,61,20,195,0
149,181,12,0,0,0.0,1,187,193,179,60,18,193,0
153,181,15,0,0,0.0,1,189,195,181,60,18,195,0
154,223,156,11,19,0.5801604609421893,1,189,196,180,61,20,196,0
155,107,244,4,71,0.06566041573380928,1,156,158,156,85,3,158,0
165,180,25,4,6,0.6574023830599305,0,189,198,181,65,21,198,0
166,219,30,2,21,0.1330075110427342,1,190,197,181,61,20,197,0
166,231,12,0,0,0.0,1,189,196,180,61,20,196,0
174,225,73,8,11,0.7143480359757916,1,186,193,177,61,21,193,0
