x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
8,1012,9,0,0,0.0,1,154,157,161,151,11,161,0
9,904,41,3,14,0.2137203062588602,1,162,163,162,85,1,163,0
9,917,39,4,11,0.3757362815913944,1,162,164,163,106,3,164,0
9,966,9,0,0,0.0,1,160,161,157,53,6,161,0
10,893,12,0,0,0.0,1,162,160,166,184,9,166,0
14,1009,12,0,0,0.0,1,156,156,130,42,42,156,0
20,962,1902,41,158,0.2639500267119647,1,157,155,134,38,37,157,0
37,173,177,8,32,0.2540562495681721,1,117,120,113,60,14,120,0
41,187,46,4,11,0.37997572139564295,1,126,139,135,114,23,139,0
43,245,46,2,26,0.11116113106181665,1,161,171,165,102,14,171,0
43,261,15,0,0,0.0,1,161,170,160,80,14,170,0
69,1083,394,13,44,0.3042681085784226,1,160,157,132,37,44,160,0
71,127,536,14,52,0.2876242305610149,1,174,181,154,53,38,181,0
102,1103,189,11,24,0.4721840904560868,1,111,113,112,106,4,113,0
111,556,15,0,0,0.0,0,168,176,153,57,33,176,0
112,102,196,9,27,0.35327579848100454,1,114,115,121,163,14,121,0
118,1098,32,3,10,0.33809525041445704,1,129,125,122,18,13,129,0
119,245,15,0,0,0.0,0,178,185,169,61,22,185,0
124,105,9,0,0,0.0,1,138,150,140,92,20,150,0
126,109,25,6,7,0.8533664989311815,1,167,170,161,56,13,170,0
132,109,12,0,0,0.0,1,161,168,158,72,15,168,0
160,628,1153,34,40,0.8650125369098083,0,164,167,130,45,56,167,174
160,687,1003,33,36,0.903380488153754,0,160,161,124,43,58,161,173
161,459,1327,38,42,0.8980600078681944,0,165,171,137,49,50,171,180
161,520,1335,38,43,0.880166616459724,0,166,170,135,47,52,170,72
161,741,1264,38,40,0.9468891554923511,0,161,161,125,42,57,161,172
161,803,1261,38,40,0.944887367208016,0,163,163,130,42,51,163,205
161,970,1796,46,47,0.9751967375181398,0,157,152,122,36,56,157,206
163,571,884,32,33,0.9705939671343734,0,172,178,144,49,48,178,71
164,237,1603,44,45,0.9674580870855041,0,167,170,139,46,46,170,181
165,179,985,34,35,0.9617667452414306,0,162,165,134,46,47,165,182
165,403,469,21,25,0.8638473805223336,0,168,172,139,47,48,172,0
191,108,24,3,11,0.280853738974116,1,167,173,171,113,8,173,0
204,109,18,0,0,0.0,1,167,175,164,73,16,175,0
218,630,526,23,27,0.852826302362125,0,163,163,125,42,59,163,175
219,109,24,0,0,0.0,1,168,175,168,85,10,175,0
219,401,1232,36,41,0.887695435726029,0,170,174,141,47,48,174,178
219,515,1187,36,39,0.9413587025852871,0,171,175,140,47,50,175,176
219,741,1192,37,38,0.9616355841738349,0,163,165,128,44,57,165,171
220,573,1320,39,41,0.9552815789220621,0,164,168,131,47,56,168,70
220,686,1135,36,38,0.9540900366749882,0,166,171,133,48,56,171,170
220,802,1414,40,42,0.9487974010137561,0,162,162,128,42,53,162,168
221,460,1249,37,39,0.9508148111292536,0,172,176,139,47,53,176,179
223,179,821,28,35,0.7993247966332542,0,167,166,137,41,45,167,183
223,236,880,32,33,0.979949806258894,0,164,165,134,43,47,165,207
227,109,9,0,0,0.0,1,166,172,163,70,13,172,0
244,109,18,0,0,0.0,1,171,173,163,51,14,173,0
256,109,45,4,13,0.3139170250332132,1,171,173,167,56,8,173,0
273,916,869,32,33,0.9644174114700622,0,159,158,124,41,56,159,165
274,238,753,29,31,0.9385530887966841,0,173,174,138,43,52,174,160
275,109,12,0,0,0.0,1,168,176,165,73,15,176,0
275,575,1248,37,40,0.9387158957171511,0,173,178,138,47,57,178,69
