x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
23,955,267,4,64,0.07559150092390887,1,140,147,122,54,43,147,0
23,1001,40,3,17,0.18096208365215258,1,138,146,127,60,33,146,0
25,1035,351,14,38,0.37441468222719987,1,104,107,94,52,30,107,0
34,174,192,12,25,0.4964880145539292,1,129,140,134,104,20,140,0
64,1087,9,0,0,0.0,1,145,153,133,59,33,153,0
71,1085,256,9,39,0.24753104320580757,1,143,146,127,49,33,146,0
72,128,454,14,49,0.2997213829677569,1,157,167,156,81,16,167,0
76,118,9,0,0,0.0,1,157,171,157,85,20,171,0
97,1103,184,14,22,0.6635202146421819,1,123,133,147,152,41,147,0
103,98,91,6,17,0.34165302738908415,1,119,124,110,57,28,124,0
107,111,30,4,7,0.5817131440663584,1,139,155,162,140,36,162,0
110,556,9,0,0,0.0,0,153,165,143,65,34,165,0
270,1106,1571,5,364,0.016301900048095862,1,98,93,97,221,13,98,0
283,637,19,0,0,0.0,0,150,166,140,68,39,166,0
354,170,31,4,7,0.6855568655732198,0,155,169,152,77,25,169,0
422,779,9,0,0,0.0,0,164,177,149,62,40,177,0
451,850,12,0,0,0.0,0,156,169,143,63,39,169,0
555,163,12,0,0,0.0,0,172,188,162,68,35,188,0
637,571,12,0,0,0.0,0,167,190,148,65,56,190,0
677,771,18,0,0,0.0,0,164,183,151,67,44,183,0
722,349,1185,35,41,0.8555677999023594,0,158,172,123,54,72,172,1
776,348,109,11,11,0.954333430132428,0,161,177,138,59,56,177,0
778,289,1992,47,51,0.9258640550706375,0,155,166,123,53,66,166,2
802,1135,2012,4,427,0.01159504926287536,1,150,162,189,156,52,189,0
837,811,15,0,0,0.0,0,155,174,144,69,43,174,0
954,552,23,4,5,0.8660254144230933,0,157,180,138,65,59,180,0
965,107,15,0,0,0.0,1,174,189,172,80,22,189,0
999,108,126,9,26,0.3564126012348948,1,171,184,168,77,22,184,0
1009,261,15,0,0,0.0,0,172,188,162,68,35,188,0
1039,1135,39,0,0,0.0,1,142,160,183,151,57,183,0
1042,108,183,3,60,0.06201000091977306,1,172,186,169,77,23,186,0
1051,1135,12,0,0,0.0,1,144,161,184,151,55,184,0
1078,716,73,8,10,0.7760893037905516,0,133,147,124,68,39,147,0
1117,693,405,20,23,0.8763233566016023,0,162,174,138,56,52,174,0
1118,629,2117,50,52,0.9646056313719915,0,146,159,115,55,70,159,3
1127,110,470,6,105,0.05695818291811764,1,166,178,166,85,17,178,0
1178,110,18,0,0,0.0,1,160,177,163,92,24,177,0
1188,111,12,0,0,0.0,1,158,176,160,89,26,176,0
1287,575,1484,41,43,0.9533206004334043,0,140,152,114,55,63,152,4
1328,219,9,0,0,0.0,0,161,171,158,75,19,171,0
1345,1108,1736,7,340,0.02165485572358078,1,94,99,105,150,26,105,0
1400,579,1086,35,37,0.9335348577879486,0,136,146,111,54,61,146,5
1401,519,1251,37,40,0.9303805472754844,0,136,147,113,56,58,147,8
1457,574,1225,37,40,0.9286353574242923,0,133,142,108,53,61,142,6
1461,515,1026,35,36,0.9617649162466163,0,134,143,114,55,51,143,7
1554,1108,22,4,5,0.6910805278674148,1,103,104,117,166,30,117,0
1559,99,31,3,11,0.3229021737679231,0,115,110,104,23,24,115,0
1560,195,18,0,0,0.0,1,138,150,149,123,20,150,0
1560,222,135,0,0,0.0,1,136,150,144,109,23,150,0
1560,250,23,3,7,0.4218903465072647,1,134,148,146,121,24,148,0
1560,261,15,0,0,0.0,1,137,147,140,97,17,147,0
1561,268,15,0,0,0.0,1,137,147,149,134,20,149,0
1561,290,12,0,0,0.0,1,140,145,149,146,15,149,0
1561,336,255,0,0,0.0,1,137,146,144,118,15,146,0
1562,484,30,0,0,0.0,1,138,147,143,108,15,147,0
1562,505,39,0,0,0.0,1,139,146,144,115,12,146,0
1562,514,12,0,0,0.0,1,139,147,139,85,13,147,0
1562,522,30,0,0,0.0,1,138,146,139,90,13,146,0
1574,796,27,4,10,0.39159868597514347,1,143,149,128,54,35,149,0
1575,740,173,5,42,0.1163841176050967,1,141,153,129,63,40,153,0
1575,774,126,6,29,0.20805104364844057,1,143,151,128,57,38,151,0
1575,810,25,0,0,0.0,1,142,150,129,58,35,150,0
1575,834,55,7,10,0.7000118942957678,1,141,150,129,60,35,150,0
1575,855,62,6,14,0.4154345541457073,1,141,148,127,56,36,148,0
1575,896,209,4,57,0.08528864117555333,1,141,147,127,55,34,147,0
1575,994,305,6,65,0.0936092073744206,1,140,148,126,57,37,148,0
1575,1027,30,0,0,0.0,1,142,145,126,49,33,145,0
1576,630,15,0,0,0.0,1,142,150,129,58,35,150,0
1576,676,411,5,90,0.06014863804003724,1,144,153,132,60,34,153,0
1576,803,12,0,0,0.0,1,140,149,130,62,32,149,0
1576,843,15,0,0,0.0,1,137,149,129,68,34,149,0
1576,955,27,3,13,0.24011151092662247,1,140,148,127,58,36,148,0
1576,1072,434,14,74,0.1987838945812606,1,137,146,124,59,38,146,0
1583,1084,22,2,7,0.38252719346471586,1,146,149,136,52,22,149,0
1585,581,18,0,0,0.0,1,145,152,137,62,25,152,0
1589,599,182,9,22,0.41873444015527195,1,143,155,134,66,34,155,0
1589,1097,14,0,0,0.0,1,137,146,145,122,15,146,0
1590,659,9,0,0,0.0,0,147,159,165,141,27,165,0
1590,1023,198,4,48,0.10058867701759001,1,144,149,153,146,14,153,0
1590,1073,184,4,48,0.10029477518655015,1,143,149,153,144,16,153,0
1595,959,12,0,0,0.0,0,143,150,177,161,48,177,0
